#
# Age1: log(age)_DB
# Age2: log(age)_asteca
# Age3: log(age)_literature
#
# E_BV1: E_BV_DB
# E_BV2: E_BV_asteca
# E_BV3: E_BV_lit
#
# Mass1: Mass_DB
# Mass2: Mass_asteca
#
#DB   GAL      NAME   Age1  e_age  Age2  e_age   Age3  e_age      Mass1   e_mass    Mass2   e_mass    E_BV1    E_BV2   e_E_BV    E_BV3   e_E_BV
G10   LMC     SL162   8.60   0.30  8.95   -1.0   9.18   0.07      -1.00       -1     3410     -1.0     0.15     0.13     -1.0    -1.00    -1.00
G10   LMC     SL551   7.90   0.30  8.15   -1.0   8.15   0.10      -1.00       -1      610     -1.0     0.22     0.04     -1.0     0.09     0.05
G10   LMC     SL678   8.80   0.50  9.05   -1.0   9.18   0.20      -1.00       -1     4010     -1.0     0.10     0.17     -1.0     0.05     0.02
G10   LMC    SL446A   8.80   0.50   9.5   -1.0   9.34   0.23      -1.00       -1     5810     -1.0     0.10     0.02     -1.0     0.06     0.02
G10   LMC     SL132   8.60   0.40     9   -1.0   9.20   0.06      -1.00       -1     1410     -1.0     0.03     0.11     -1.0    -1.00    -1.00
G10   SMC       L72   7.50   0.30   6.5   -1.0   7.40   0.40      -1.00       -1     2010     -1.0     0.08     0.04     -1.0     0.14     0.02
G10   LMC     SL505   8.80   0.50     9   -1.0   8.95   0.33      -1.00       -1     2610     -1.0     0.15     0.02     -1.0     0.07     0.02
G10   SMC       L63   7.80   0.30  6.35   -1.0   8.04   0.27      -1.00       -1      810     -1.0     0.15     0.16     -1.0     0.06     0.02
G10   LMC     SL579   7.80   0.30   7.7   -1.0   8.15   0.10      -1.00       -1      610     -1.0     0.12     0.04     -1.0     0.07     0.05
G10   LMC     SL674   8.80   0.50   9.5   -1.0   9.36   0.17      -1.00       -1    19610     -1.0     0.10     0.02     -1.0     0.05     0.02
G10   LMC      SL96   8.70   0.30   9.1   -1.0   9.20   0.06      -1.00       -1     3210     -1.0     0.05     0.16     -1.0    -1.00    -1.00
P12   LMC   BRHT38B   8.00   0.12     8   -1.0   8.25   0.10    1400.00      400      410     -1.0    -1.00     0.14     -1.0     0.08     0.05
P12   LMC   BRHT45A   7.65   0.12   7.7   -1.0   8.10   0.10     900.00      550      810     -1.0    -1.00     0.17     -1.0     0.08     0.05
P12   LMC   BSDL341   7.64   0.09     7   -1.0   8.45   0.10     650.00      150     1210     -1.0    -1.00     0.17     -1.0     0.09     0.05
P12   LMC   H88-245   8.02   0.22   8.7   -1.0   8.20   0.62     550.00      500      410     -1.0    -1.00      0.1     -1.0     0.08    -1.00
P12   LMC   BSDL268   7.51   0.16  6.95   -1.0   7.95   0.10    1900.00      500      610     -1.0    -1.00     0.14     -1.0     0.10     0.05
P12   LMC   H88-265   7.98   0.09  6.35   -1.0   8.30   0.10    1500.00      250     1410     -1.0    -1.00      0.2     -1.0     0.05     0.05
P12   LMC   H88-320   8.02   0.04  7.95   -1.0   8.20   0.10    1200.00      100      410     -1.0    -1.00     0.24     -1.0     0.17     0.05
P12   LMC   H88-279   7.97   0.17   6.3   -1.0   8.10   0.10    1100.00      450      610     -1.0    -1.00     0.04     -1.0     0.08     0.05
P12   LMC    H88-55   7.92   0.11   8.8   -1.0   8.70   0.20     325.00      225     1210     -1.0    -1.00     0.03     -1.0     0.06    -1.00
P12   LMC   H88-235   8.55   0.05   8.6   -1.0   8.75   0.10    1600.00      250      410     -1.0    -1.00     0.18     -1.0     0.06     0.05
P12   LMC   H88-316   7.27   0.23   7.1   -1.0   8.25   0.10     950.00      800      610     -1.0    -1.00     0.26     -1.0     0.15     0.05
P12   LMC   KMHK378   7.37   0.13  8.85   -1.0   8.45   0.10    1450.00      525      410     -1.0    -1.00     0.06     -1.0     0.07     0.05
P12   LMC      HS38   8.45   0.32   8.9   -1.0   8.60   0.25    1650.00     1150     1010     -1.0    -1.00        0     -1.0     0.05    -1.00
P12   LMC    H88-52   8.73   0.07  8.95   -1.0   9.15   0.07    2500.00      750     1610     -1.0    -1.00     0.11     -1.0    -1.00    -1.00
P12   LMC     HS390   7.92   0.12  6.75   -1.0   8.25   0.10     950.00      125      410     -1.0    -1.00     0.36     -1.0     0.23     0.05
P12   LMC    H88-33   8.13   0.06  6.55   -1.0   8.35   0.10     900.00      150      410     -1.0    -1.00     0.13     -1.0     0.07     0.05
P12   LMC    H88-26   8.44   0.15     9   -1.0   8.90   0.13     600.00      200      610     -1.0    -1.00      0.1     -1.0     0.06    -1.00
P12   LMC    H88-40   8.71   0.17  8.95   -1.0   8.85   0.07    2850.00      650     1410     -1.0    -1.00     0.04     -1.0     0.06    -1.00
P12   LMC  KMHK1045   8.86   0.04   6.6   -1.0   8.80   0.16     750.00      150      210     -1.0    -1.00      0.3     -1.0     0.06    -1.00
P12   LMC   NGC1839   7.87   0.27   6.4   -1.0   8.10   0.20    8000.00     3400     5410     -1.0    -1.00     0.17     -1.0     0.15     0.03
P12   LMC   H88-269   8.40   0.36  6.65   -1.0   8.90   0.10    2700.00     1825     1210     -1.0    -1.00     0.24     -1.0     0.05     0.05
P12   LMC     SL218   7.73   0.09   8.9   -1.0   7.70   0.20    2700.00      750     1010     -1.0    -1.00        0     -1.0     0.15     0.03
P12   LMC     HS247   8.08   0.20   6.6   -1.0   8.55   0.10     650.00      600     1010     -1.0    -1.00     0.22     -1.0     0.13     0.05
P12   LMC  KMHK1055   8.75   0.14   6.9   -1.0   9.00   0.10    3000.00     1000      810     -1.0    -1.00     0.06     -1.0     0.06    -1.00
P12   LMC    H88-67   8.84   0.07   9.1   -1.0   9.23   0.06    1200.00      200     1410     -1.0    -1.00     0.01     -1.0    -1.00    -1.00
P12   LMC   NGC1793   7.79   0.20  6.65   -1.0   8.05   0.10    6500.00     2500      810     -1.0    -1.00     0.16     -1.0     0.11     0.05
P12   LMC   KMHK975   7.88   0.22   6.5   -1.0   8.30   0.10     200.00      300      210     -1.0    -1.00      0.2     -1.0     0.05     0.05
P12   LMC  KMHK1023   8.91   0.22   9.5   -1.0   9.23   0.06     700.00      450     3610     -1.0    -1.00      0.3     -1.0    -1.00    -1.00
P12   LMC     SL244   9.43   0.01   9.4   -1.0   9.08   0.25   35000.00     4000     7410     -1.0    -1.00     0.14     -1.0     0.06     0.02
P12   LMC     SL290   8.20   0.45   8.8   -1.0   9.08   0.08    2800.00     1400     1210     -1.0    -1.00      0.1     -1.0    -1.00    -1.00
P12   LMC   NGC1917   9.46   0.08  9.25   -1.0   9.11   0.15  100000.00     5000    17810     -1.0    -1.00     0.22     -1.0    -1.00    -1.00
P12   LMC   NGC1751   9.06   0.01   9.1   -1.0   9.11   0.15   65000.00    10000     5610     -1.0    -1.00     0.04     -1.0    -1.00    -1.00
P12   LMC   NGC1836   8.30   0.18  8.85   -1.0   8.60   0.25   13000.00     4250     7810     -1.0    -1.00      0.1     -1.0     0.06     0.02
P12   LMC   NGC1863   7.45   0.20  6.15   -1.0   7.70   0.20    9500.00     5250     5410     -1.0    -1.00     0.19     -1.0     0.15     0.03
P12   LMC   NGC1865   8.38   0.20  8.75   -1.0   8.70   0.20   12000.00     6000     5810     -1.0    -1.00     0.02     -1.0     0.06     0.02
P12   LMC   KMHK229   9.05   0.30  8.95   -1.0   9.00   0.10    8500.00     4750      210     -1.0    -1.00     0.22     -1.0     0.10    -1.00
P12   LMC   NGC1860   7.80   0.27     9   -1.0   8.40   0.20    2650.00     2050    23610     -1.0    -1.00     0.08     -1.0     0.08     0.02
P12   LMC   NGC2108   7.41   0.14     9   -1.0   9.10   0.16     700.00      275     6610     -1.0    -1.00     0.12     -1.0    -1.00    -1.00
P12   LMC     SL151   9.19   0.20     9   -1.0   9.18   0.07   14000.00     6500     2010     -1.0    -1.00     0.16     -1.0    -1.00    -1.00
P12   LMC   NGC2093   7.48   0.15  7.45   -1.0   8.40   0.40    6500.00     2650      610     -1.0    -1.00      0.3     -1.0     0.07    -1.00
P12   LMC     SL397   7.71   0.20     8   -1.0   8.20   0.10    6000.00     2750     1610     -1.0    -1.00     0.14     -1.0     0.08     0.05
P12   LMC     SL588   8.70   0.15  6.55   -1.0   8.60   0.25    7000.00     2500     2810     -1.0    -1.00     0.32     -1.0     0.06    -1.00
P12   LMC     SL154   8.29   0.35  8.85   -1.0   8.70   0.20    1775.00     1400      810     -1.0    -1.00     0.05     -1.0     0.06    -1.00
P12   LMC     SL162   8.46   0.48  8.95   -1.0   9.18   0.07    3350.00     2150     3410     -1.0    -1.00     0.13     -1.0    -1.00    -1.00
P12   LMC     SL551   7.95   0.10  8.15   -1.0   8.15   0.10    1800.00      550      610     -1.0    -1.00     0.04     -1.0     0.09     0.05
P12   LMC     SL132   8.79   0.36     9   -1.0   9.20   0.06    1800.00     1000     1410     -1.0    -1.00     0.11     -1.0    -1.00    -1.00
P12   LMC     SL579   7.75   0.07   7.7   -1.0   8.15   0.10    3000.00      650      610     -1.0    -1.00     0.04     -1.0     0.07     0.05
P12   LMC      SL96   8.87   0.03   9.1   -1.0   9.20   0.06    3000.00      500     3210     -1.0    -1.00     0.16     -1.0    -1.00    -1.00
