#
# Age1: log(age)_H03
# Age2: log(age)_P12
#
# Mass1: Mass_H03
# Mass2: Mass_P12
#
#GAL   RA        DEC         Age1   e_age  Age2   e_age   Mass1   e_m1  Mass2    e_m2     NAMES
LMC    79.11217  -69.67414   7.18   0.15   7.87   0.12      104  -1      700      300     BSDL1096
LMC    80.00854  -69.26100   7.18   0.15   7.97   0.17      117  -1     1100      450     H88-279
LMC    77.30567  -69.11444   8.62   0.09   8.26   0.39     1528  -1     1675     1325     KMK88-28, H88-164
LMC    73.80833  -68.20500   7.21   0.15   7.26   0.61     7112  -1    28000    24000     NGC1755, SL99
LMC    80.74075  -69.62519   7.34   0.15   7.88   0.07      387  -1     2200      300     HS261
LMC    74.55833  -67.76833   8.49   0.09   7.92   0.11     1169  -1      325      225     H88-55, KMHK367
LMC    79.91250  -69.77333   9.48   0.09   7.91   0.22     4406  -1      375      225     BSDL1263
LMC    80.48750  -69.61083   7.19   0.15   7.89   0.15      167  -1     1300      400     OGLE-LMC0402
LMC    79.83333  -69.78833   7.80   0.54   8.07   0.17     1437  -1     4250     1250     NGC1921, SL381
LMC    74.14583  -70.42500   9.48   0.09   8.68   0.77     4529  -1      675      325     KMHK327
LMC    80.14608  -69.68872   6.87   0.15   7.98   0.10       34  -1      850      200     KMK88-48
LMC    79.17917  -69.59667   7.18   0.15   7.91   0.08      106  -1      900      150     BSDL1104
LMC    79.54379  -69.54078   7.20   0.15   7.91   0.12      356  -1     3000      650     BRHT10, H88-264
LMC    80.43333  -69.57167   6.86   0.15   7.92   0.12       97  -1     2200      650     HS251
LMC    83.04883  -69.49475   8.00   0.17   7.92   0.21     1419  -1     1800      950     SL558
LMC    85.37500  -69.18500   7.20   0.15   7.92   0.12       90  -1      950      125     HS390, KMHK1239
LMC    82.98750  -67.87833   6.53   0.15   7.92   0.06       13  -1      200       75     KMHK1029
LMC    75.34358  -67.29478   8.83   0.09   7.92   0.27     2051  -1      450      550     SL173, KMHK440
LMC    74.47083  -68.57667   7.00   0.15   8.23   0.34      124  -1     1600     1500     H88-51, H80F1-34, KMHK359
LMC    78.15854  -69.29250   7.59   0.54   7.93   0.18      387  -1     1600      650     KMK88-41, H88-212
LMC    84.31250  -69.48667   7.19   0.15   7.93   0.08      151  -1     1400      200     HS369
LMC    85.33750  -69.06333   7.19   0.15   7.93   0.09       85  -1      800      275     H88-313
LMC    77.41746  -69.21094   8.99   0.09   8.00   0.33     2291  -1      425      600     HS136
LMC    76.18704  -68.98439   8.98   0.09   7.93   0.10     2208  -1      250      100     H88-112
LMC    77.13333  -70.44833   7.19   0.15   8.05   0.16      146  -1     1300      650     KMHK587
LMC    79.45300  -69.41006   6.97   0.15   7.94   0.26      211  -1     1300      675     H88-263
LMC    78.66583  -68.96339   7.18   0.15   7.94   0.15       87  -1      750      275     BSDL991
LMC    77.86783  -68.85100   8.66   0.09   7.94   0.07     1445  -1      750      150     H88-199
LMC    85.42917  -69.00333   7.66   0.54   7.94   0.05      319  -1     1200      150     BSDL2824
LMC    74.23542  -70.42750   7.16   0.15   8.06   0.22      158  -1     1400      675     BRHT2B, KMHK340
LMC    81.69583  -69.00833   7.54   0.54   7.95   0.04      437  -1     2000      200     BSDL1750
LMC    80.08712  -70.76839   6.83   0.15   7.95   0.10       63  -1     1000      225     SL399, KMHK799
LMC    79.05417  -70.50278   8.00   0.17   7.95   0.10     1117  -1     1900      500     KMHK707E
LMC    76.17229  -69.24739   8.82   0.09   7.96   0.04     1542  -1      250      100     KMK88-9, H88-110
LMC    77.28750  -70.61333   7.20   0.15   8.02   0.14      138  -1      600      400     SL270, KMHK596
LMC    80.68823  -69.90159   8.97   0.09   7.97   0.24     3467  -1      700      600     OGLE-LMC0414
LMC    78.57350  -69.10025   8.12   0.15   7.97   0.10      560  -1      700      175     H88-227
LMC    78.56667  -69.03667   8.94   0.09   7.97   0.20     2805  -1      950      375     H88-226
LMC    79.98896  -69.69100   7.89   1.06   7.97   0.12      637  -1     1100      400     KMK88-47
LMC    79.52125  -69.17161   7.69   0.54   7.98   0.09      433  -1     1500      250     H88-265
LMC    78.05500  -68.95125   8.19   0.15   7.98   0.14      625  -1      700      350     HS166
LMC    73.40000  -67.87167   6.79   0.15   8.00   0.26       41  -1     1650      850     HS56, KMHK218
LMC    75.80833  -70.09167   8.94   0.09   7.99   0.16     1786  -1      400      150     HS99, KMHK483
LMC    77.01667  -70.02833   7.16   0.15   7.99   0.07       72  -1      500      100     BSDL691
LMC    73.13333  -69.39000   7.28   0.15   7.99   0.16      105  -1      800      400     HS49
LMC    80.34487  -69.90931   8.21   0.15   8.14   0.28      631  -1      900      875     KMK88-50
LMC    76.99583  -69.87500   8.20   0.18   8.04   0.26     1921  -1     2675     1825     SL251, KMHK574
LMC    77.48254  -69.33064   7.86   1.06   8.07   0.09      254  -1      850      225     H88-172
LMC    74.04583  -68.88833   7.23   0.15   8.00   0.20      128  -1     1400      700     BSDL274
LMC    82.99542  -67.97056   7.21   0.15   8.00   0.12      129  -1     1400      400     BRHT38B, KMHK1032
LMC    75.46250  -69.92000   7.70   0.54   8.01   0.10      172  -1      600      100     KMHK461
LMC    78.47487  -69.40525   8.10   0.15   8.01   0.09      520  -1      750      225     BSDL948
LMC    83.89167  -69.39667   7.18   0.15   8.01   0.13       93  -1      950      475     SESG1
LMC    82.82917  -68.81667   7.20   0.15   8.01   0.10      126  -1     1400      325     KMK88-63, SL541
LMC    74.80833  -67.90833   8.56   0.09   8.29   0.35     1459  -1     1775     1400     SL154, H88-73, KMHK390
LMC    74.56667  -68.82167   8.58   0.09   8.29   0.28      759  -1      800      600     H88-59, H80F1-37, KMHK371
LMC    79.11100  -69.08028   8.93   0.09   8.02   0.22     1803  -1      550      500     H88-245
LMC    73.91250  -67.82167   7.66   0.54   8.25   0.23      142  -1      625      375     H88-34, KMHK285
LMC    82.73333  -69.10667   7.63   0.54   8.11   0.11      146  -1      725      175     HS336
LMC    79.98950  -69.41744   6.83   0.15   8.20   0.17       41  -1     1650     1050     H88-278
LMC    81.45417  -68.82500   7.90   1.06   8.03   0.08      281  -1      800      175     BSDL1650
LMC    82.56667  -68.45833   7.20   0.15   8.02   0.21      143  -1     1650     1175     KMHK985
LMC    77.66712  -69.27403   7.82   0.15   8.05   0.18      325  -1      850      500     H88-184
LMC    77.41667  -70.35667   8.09   0.15   8.10   0.15      581  -1      925      550     HS140, KMHK608
LMC    80.43750  -68.91667   7.94   0.15   8.08   0.20      394  -1      650      600     HS247
LMC    75.85417  -69.73833   7.88   1.06   8.04   0.18      483  -1      950      475     HS100, KMHK485
LMC    77.73296  -68.94342   8.34   0.09   8.09   0.17      871  -1      750      275     KMK88-35, H88-187
LMC    75.85067  -68.85825   7.21   0.15   8.04   0.10      149  -1     1200      275     OGLE-LMC0038
LMC    79.57083  -69.34667   8.97   0.09   8.05   0.17     1368  -1      400      250     BSDL1169
LMC    77.14579  -69.17669   9.00   0.09   8.30   0.27     2228  -1      900      400     HS127
LMC    82.87917  -69.48500   7.20   0.15   8.05   0.09       64  -1      800      250     BSDL2164
LMC    80.12500  -69.31333   8.30   0.15   8.05   0.07      570  -1      550      150     H88-282
LMC    80.27279  -70.04592   7.21   0.15   8.05   0.07       86  -1     1100      125     BSDL1335
