#
# Hierarchical structures in the Large and Small Magellanic clouds, Bonatto & Bica (2010)
#
# Table 2: # http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=J%2FMNRAS%2F403%2F996
#
# Refs in Table 1
#
#MC   Name                                         r     Age1
#
LMC  HS359                                        R5      --
LMC  OHSC22,KMHK1089                              R55     --
LMC  KMHK1112                                     R38     --
LMC  SL594,KMHK1117                               R38     --
LMC  LOGLE621                                     R11   9.00
LMC  SL603,LW249,KMHK1151                         R55     --
LMC  LOGLE623                                     R11   9.00
LMC  SL598                                        R5      --
LMC  NGC2043,ESO56SC168,LOGLE627                  R11   8.90
LMC  BSDL2535,LOGLE628                            R11   8.90
LMC  BSDL2477                                     R55     --
LMC  E2,ESO120SC08,KMHK1119                       R6    9.32
LMC  SL620,LW255,KMHK1155                         R5      --
LMC  SL607,KMHK1137                               R50     --
LMC  BSDL2516                                     R55     --
LMC  SL617,KMHK1144                               R5      --
LMC  SL604,LW251,KMHK1127                         R55     --
LMC  BSDL2530                                     R55     --
LMC  BSDL2533                                     R55     --
LMC  LOGLE635                                     R11   9.00
LMC  SL615,KMHK1143                               R38     --
LMC  SL622,LOGLE641                               R11   8.85
LMC  BSDL2610,LOGLE640                            R11   8.90
LMC  KMHK1175                                     R55     --
LMC  IC2146,SL632,LW258,ESO33SC26,KMHK1178        R28   9.19
LMC  BSDL2602                                     R55     --
LMC  BSDL2649,LOGLE654                            R11   9.00
LMC  SL629,KMHK1169                               R38     --
LMC  KMHK1167                                     R38     --
LMC  SL628,KMHK1166                               R50     --
LMC  BSDL2652                                     R38     --
LMC  BSDL2672,LOGLE662                            R11   9.00
LMC  H88-302                                      R38     --
LMC  LW263,KMHK1208                               R55     --
LMC  OHSC23                                       R55     --
LMC  IC2148,SL642,LW265,ESO33SC28,KMHK1216        R5      --
LMC  KMHK1188                                     R38     --
LMC  SL647,LW267,KMHK1223                         R55     --
LMC  BSDL2708,LOGLE670                            R11   8.80
LMC  KMHK1197,LOGLE671                            R11   8.85
LMC  BSDL2669                                     R55     --
LMC  KMHK1200,LOGLE672                            R11   9.00
LMC  BSDL2679                                     R55     --
LMC  H5,SL648,LW268,ESO57SC19,KMHK1219            R5      --
LMC  LW270,KMHK1243                               R55     --
LMC  OHSC24                                       R55     --
LMC  BSDL2724                                     R55     --
LMC  BSDL2799,LOGLE679                            R11   9.00
LMC  SL651,KMHK1222                               R5      --
LMC  SL649,LW269,KMHK1214                         R55     --
LMC  BSDL2771                                     R55     --
LMC  BSDL2782                                     R55     --
LMC  H6,SL668,LW274,ESO57SC30,KMHK1275            R5      --
LMC  SL663,LW273,ESO86SC22,KMHK1250               R41   9.48
LMC  KMHK1277,LOGLE693                            R11   8.85
LMC  BSDL2881,LOGLE695                            R11   9.05
LMC  H88-323,KMHK1279                             R38     --
LMC  BSDL3247                                     R55     --
LMC  BM10                                         R38     --
LMC  HS401,KMHK1288,LOGLE698                      R11   8.90
LMC  SL676,KMHK1289,LOGLE699                      R5      --
LMC  BSDL2860                                     R55     --
LMC  LW276,KMHK1269                               R55     --
LMC  SL670,LW277,ESO86SC25,KMHK1268               R55     --
LMC  SL674,ESO86SC26,KMHK1281                     R41   9.36
LMC  KMHK1278                                     R55     --
LMC  KMHK1299,LOGLE702                            R11   8.85
LMC  SL678,KMHK1283                               R41   9.18
LMC  BSDL2913,LOGLE704                            R11   9.06
LMC  KMHK1307,LOGLE705                            R11   9.00
LMC  BSDL2915,LOGLE706                            R11   8.90
LMC  SL677,LW280,KMHK1286                         R55     --
LMC  NGC2108,SL686,ESO57SC33,KMHK1304             R28   9.01
LMC  LOGLE708                                     R11   9.00
LMC  SL680,LW281,KMHK1290                         R55     --
LMC  OHSC25,KMHK1338                              R55     --
LMC  BSDL2896                                     R55     --
LMC  NGC2097,SL682,LW282,ESO56SC28,KMHK1294       R50     --
LMC  BSDL2927,LOGLE714                            R11   9.00
LMC  SL703,LW290,KMHK1352                         R55     --
LMC  KMHK1337,LOGLE722                            R11   9.00
LMC  BSDL2950,LOGLE723                            R11   9.00
LMC  SL694,LW287,KMHK1318                         R55     --
LMC  SL701,LW289,ESO56SC30,KMHK1330               R55     --
LMC  LW297,KMHK1372                               R55     --
LMC  BSDL2976                                     R55     --
LMC  SL710,LW298,ESO86SC32,KMHK1356               R55     --
LMC  BSDL3015,LOGLE741                            R11   8.90
LMC  OHSC26                                       R55     --
