# File generated by CMD 2.8 (http://stev.oapd.inaf.it/cmd) on Wed Jul 13 19:43:23 CEST 2016
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583)
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.03000		Age = 	3.162e+06 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	C/O	M_hec	period	pmode	logMdot	int_IMF
	6.50	80.3624343872	43.1800	6.0771	4.5490	3.1384	-10.423	-8.612	-7.462	-7.170	-7.035	-6.857	-6.457	-6.327	-6.216	0.4787	0.0000	0.9	1	-12.357	3.3363521099
	6.50	83.8568649292	43.4125	6.1057	4.6193	3.3932	-10.494	-8.232	-7.063	-6.751	-6.606	-6.422	-6.013	-5.878	-5.763	0.4787	0.0000	0.6	1	-12.355	3.3363530636
	6.50	84.3599624634	43.3683	6.1180	4.7006	3.7056	-10.525	-7.716	-6.527	-6.201	-6.048	-5.856	-5.436	-5.297	-5.177	0.4787	0.0000	0.3	1	-12.356	3.3363530636
	6.50	84.3890838623	43.3558	6.1203	4.7177	3.7714	-10.531	-7.668	-6.468	-6.148	-6.003	-5.815	-5.397	-5.262	-5.147	0.4787	0.0000	0.3	1	-12.356	3.3363530636
	6.50	84.4197006226	43.3426	6.1227	4.7359	3.8418	-10.537	-7.614	-6.404	-6.090	-5.952	-5.769	-5.353	-5.223	-5.112	0.4787	0.0000	0.3	1	-12.356	3.3363530636
	6.50	84.4503707886	43.3355	6.1307	4.7794	4.0079	-10.557	-7.395	-6.170	-5.857	-5.722	-5.538	-5.120	-4.992	-4.883	0.4787	0.0000	0.2	1	-12.356	3.3363530636
	6.50	84.4913101196	43.3279	6.1414	4.8123	4.1284	-10.584	-7.205	-5.975	-5.656	-5.518	-5.332	-4.908	-4.778	-4.668	0.4787	0.0000	0.2	1	-12.356	3.3363530636
	6.50	84.5411529541	43.3186	6.1584	4.8269	4.1699	-10.626	-7.150	-5.918	-5.597	-5.457	-5.269	-4.844	-4.713	-4.603	0.4787	0.0000	0.2	1	-12.356	3.3363530636
	6.50	84.5715866089	43.3120	6.1682	4.8125	4.1023	-10.650	-7.271	-6.041	-5.722	-5.583	-5.397	-4.974	-4.844	-4.734	0.4787	0.0000	0.2	1	-12.356	3.3363530636
	6.50	84.5809555054	43.3095	6.1710	4.8039	4.0653	-10.657	-7.334	-6.106	-5.788	-5.651	-5.465	-5.043	-4.914	-4.804	0.4787	0.0000	0.2	1	-12.356	3.3363530636
	6.50	84.5856475830	43.3078	6.1724	4.7965	4.0341	-10.661	-7.387	-6.160	-5.843	-5.707	-5.522	-5.100	-4.972	-4.862	0.4787	0.0000	0.2	1	-12.356	3.3363530636
	6.50	84.5932617188	43.3051	6.1746	4.7853	3.9871	-10.666	-7.466	-6.240	-5.926	-5.790	-5.607	-5.187	-5.059	-4.950	0.4787	0.0000	0.2	1	-12.356	3.3363530636
	6.50	84.5985260010	43.3032	6.1762	4.7766	3.9506	-10.671	-7.527	-6.303	-5.991	-5.856	-5.672	-5.254	-5.126	-5.018	0.4787	0.0000	0.2	1	-12.356	3.3363530636
	6.50	84.6037902832	43.3013	6.1779	4.7670	3.9105	-10.675	-7.594	-6.372	-6.061	-5.927	-5.745	-5.328	-5.200	-5.093	0.4787	0.0000	0.2	1	-12.356	3.3363530636
	6.50	84.6090621948	43.2995	6.1793	4.7564	3.8668	-10.678	-7.667	-6.447	-6.137	-6.004	-5.824	-5.408	-5.281	-5.174	0.4787	0.0000	0.3	1	-12.356	3.3363530636
	6.50	84.6149215698	43.2974	6.1808	4.7451	3.8202	-10.682	-7.728	-6.513	-6.202	-6.068	-5.887	-5.472	-5.345	-5.236	0.4787	0.0000	0.3	1	-12.356	3.3363530636
	6.50	84.6178436279	43.2963	6.1817	4.7383	3.7921	-10.684	-7.753	-6.542	-6.229	-6.092	-5.909	-5.493	-5.364	-5.254	0.4787	0.0000	0.3	1	-12.356	3.3363530636
	6.50	84.6201934814	43.2955	6.1825	4.7319	3.7657	-10.686	-7.777	-6.569	-6.253	-6.114	-5.930	-5.513	-5.383	-5.271	0.4787	0.0000	0.3	1	-12.356	3.3363530636
	6.50	84.6231155396	43.2945	6.1834	4.7240	3.7329	-10.689	-7.806	-6.602	-6.284	-6.142	-5.956	-5.538	-5.405	-5.292	0.4787	0.0000	0.3	1	-12.356	3.3363530636
	6.50	84.6266326904	43.2932	6.1845	4.7157	3.6989	-10.691	-7.835	-6.636	-6.315	-6.169	-5.981	-5.562	-5.427	-5.312	0.4787	0.0000	0.3	1	-12.356	3.3363530636
	6.50	84.6295623779	43.2922	6.1856	4.7072	3.6637	-10.694	-7.864	-6.671	-6.347	-6.197	-6.007	-5.588	-5.450	-5.332	0.4787	0.0000	0.4	1	-12.356	3.3363530636
	6.50	84.6319046021	43.2913	6.1865	4.7001	3.6342	-10.696	-7.889	-6.700	-6.374	-6.221	-6.029	-5.609	-5.469	-5.350	0.4787	0.0000	0.4	1	-12.356	3.3363530636
	6.50	84.6354217529	43.2901	6.1875	4.6921	3.6012	-10.699	-7.946	-6.759	-6.434	-6.282	-6.091	-5.672	-5.533	-5.414	0.4787	0.0000	0.4	1	-12.356	3.3363530636
	6.50	84.6383361816	43.2891	6.1884	4.6858	3.5751	-10.701	-7.992	-6.805	-6.481	-6.331	-6.140	-5.723	-5.584	-5.465	0.4787	0.0000	0.4	1	-12.356	3.3363530636
	6.50	84.6424407959	43.2648	6.1895	4.6770	3.5384	-10.704	-8.055	-6.869	-6.547	-6.399	-6.209	-5.793	-5.655	-5.537	0.4787	0.0000	0.5	1	-12.357	3.3363530636
	6.50	84.6453704834	43.2475	6.1903	4.6709	3.5133	-10.706	-8.098	-6.914	-6.593	-6.445	-6.256	-5.840	-5.703	-5.585	0.4787	0.0000	0.5	1	-12.357	3.3363530636
	6.50	84.6494674683	43.2233	6.1914	4.6628	3.4794	-10.708	-8.155	-6.974	-6.654	-6.506	-6.318	-5.904	-5.767	-5.649	0.4787	0.0000	0.5	1	-12.357	3.3363530636
	6.50	84.6518096924	43.2095	6.1919	4.6577	3.4583	-10.710	-8.191	-7.011	-6.692	-6.545	-6.357	-5.943	-5.806	-5.689	0.4787	0.0000	0.5	1	-12.357	3.3363530636
	6.50	84.6547393799	43.1922	6.1927	4.6509	3.4304	-10.712	-8.238	-7.060	-6.742	-6.595	-6.408	-5.995	-5.858	-5.741	0.4787	0.0000	0.5	1	-12.357	3.3363530636
	6.50	84.6570892334	43.1783	6.1933	4.6450	3.4061	-10.713	-8.279	-7.103	-6.786	-6.639	-6.453	-6.040	-5.904	-5.787	0.4787	0.0000	0.6	1	-12.357	3.3363530636
	6.50	84.6594314575	43.1644	6.1940	4.6369	3.3727	-10.715	-8.336	-7.162	-6.846	-6.700	-6.514	-6.103	-5.967	-5.850	0.4787	0.0000	0.6	1	-12.358	3.3363530636
	6.50	84.6617736816	43.1479	6.1946	4.6297	3.3429	-10.717	-8.386	-7.214	-6.900	-6.754	-6.569	-6.158	-6.023	-5.907	0.4787	0.0000	0.6	1	-12.358	3.3363530636
	6.50	84.6641159058	43.1313	6.1953	4.6213	3.3088	-10.718	-8.443	-7.274	-6.961	-6.816	-6.631	-6.222	-6.087	-5.971	0.4787	0.0000	0.7	1	-12.358	3.3363530636
	6.50	84.6664581299	43.1147	6.1960	4.6137	3.2774	-10.720	-8.495	-7.328	-7.017	-6.873	-6.689	-6.281	-6.147	-6.032	0.4787	0.0000	0.7	1	-12.358	3.3363530636
	6.50	84.6676330566	43.1064	6.1964	4.6084	3.2556	-10.721	-8.531	-7.365	-7.056	-6.912	-6.729	-6.322	-6.188	-6.073	0.4787	0.0000	0.7	1	-12.358	3.3363530636
	6.50	84.6688079834	43.0981	6.1967	4.6021	3.2301	-10.722	-8.573	-7.409	-7.102	-6.959	-6.776	-6.369	-6.236	-6.122	0.4787	0.0000	0.8	1	-12.358	3.3363530636
	6.50	84.6711502075	43.0815	6.1975	4.5915	3.1867	-10.724	-8.644	-7.481	-7.178	-7.037	-6.857	-6.452	-6.320	-6.207	0.4787	0.0000	0.8	1	-12.358	3.3363530636
	6.50	84.6734771729	43.0608	6.1981	4.5816	3.1466	-10.725	-8.708	-7.547	-7.247	-7.110	-6.931	-6.529	-6.398	-6.285	0.4787	0.0000	0.9	1	-12.359	3.3363530636
	6.50	84.6758270264	43.0400	6.1988	4.5703	3.1002	-10.727	-8.783	-7.624	-7.328	-7.192	-7.015	-6.614	-6.484	-6.372	0.4787	0.0000	1.0	1	-12.359	3.3363530636
	6.50	84.6793365479	43.0124	6.2005	4.5757	3.1197	-10.731	-8.753	-7.592	-7.295	-7.159	-6.981	-6.581	-6.451	-6.338	0.4787	0.0000	0.9	1	-12.359	3.3363530636
	6.50	84.6816864014	42.9939	6.2008	4.5673	3.0857	-10.732	-8.807	-7.649	-7.353	-7.218	-7.040	-6.640	-6.510	-6.398	0.4787	0.0000	1.0	1	-12.359	3.3363530636
	6.50	84.6828536987	42.9846	6.2010	4.5616	3.0628	-10.732	-8.843	-7.688	-7.393	-7.258	-7.080	-6.680	-6.550	-6.438	0.4787	0.0000	1.0	1	-12.359	3.3363530636
	6.50	84.6840286255	42.9754	6.2012	4.5539	3.0316	-10.733	-8.892	-7.740	-7.447	-7.312	-7.135	-6.734	-6.604	-6.493	0.4787	0.0000	1.1	1	-12.359	3.3363530636
	6.50	84.6852035522	42.9662	6.2014	4.5471	3.0041	-10.733	-8.933	-7.784	-7.493	-7.358	-7.181	-6.780	-6.650	-6.539	0.4787	0.0000	1.1	1	-12.360	3.3363530636
	6.50	84.6863708496	42.9569	6.2016	4.5402	2.9760	-10.734	-8.972	-7.827	-7.538	-7.402	-7.225	-6.825	-6.694	-6.583	0.4787	0.0000	1.2	1	-12.360	3.3363530636
	6.50	84.6898880005	42.9301	6.2023	4.5335	2.9484	-10.736	-9.011	-7.870	-7.582	-7.446	-7.269	-6.868	-6.738	-6.626	0.4787	0.0000	1.3	1	-12.360	3.3363530636
	6.50	84.6957473755	42.8855	6.2038	4.5258	2.9158	-10.740	-9.057	-7.920	-7.634	-7.499	-7.321	-6.920	-6.790	-6.678	0.4787	0.0000	1.3	1	-12.360	3.3363530636
	6.50	84.7027816772	42.8318	6.2081	4.5293	2.9247	-10.750	-9.049	-7.910	-7.623	-7.488	-7.310	-6.909	-6.779	-6.667	0.4787	0.0000	1.3	1	-12.361	3.3363530636
	6.50	84.7426300049	42.5795	6.2142	4.5067	2.8258	-10.765	-9.184	-8.054	-7.776	-7.644	-7.469	-7.074	-6.945	-6.836	0.4787	0.0000	1.6	1	-12.363	3.3363533020
	6.50	84.7719268799	42.3264	6.2186	4.4764	2.6974	-10.777	-9.363	-8.242	-7.976	-7.852	-7.685	-7.299	-7.174	-7.068	0.4787	0.0000	1.9	1	-12.366	3.3363533020
	6.50	84.8106231689	42.0707	6.2239	4.4141	2.4406	-10.790	-9.651	-8.569	-8.330	-8.221	-8.070	-7.711	-7.599	-7.502	0.4787	0.0000	3.0	1	-12.369	3.3363533020
	6.50	84.8510818481	41.6764	6.2288	4.3761	2.2795	-10.802	-9.821	-8.777	-8.551	-8.451	-8.310	-7.970	-7.866	-7.776	0.4787	0.0000	4.0	1	-12.373	3.3363533020
