#
# centeralpha, centerdelta: coords of the MCEV region.
# ra_deg, dec_deg: coords of the cluster.
#
# centeralpha   centerdelta   ev_i   sig_ev_i   ra_deg         dec_deg        
  77.3645       -68.5791      0.1    0.1125     78.104166667   -68.771944444  
  77.7114       -68.4286      0.08   0.096      78.104166667   -68.771944444  
  77.5726       -68.4286      0.09   0.1175     78.104166667   -68.771944444  
  78.0225       -68.2971      0.11   0.1005     78.104166667   -68.771944444  
  77.887        -68.2971      0.1    0.1        78.104166667   -68.771944444  
  77.7515       -68.2971      0.09   0.1005     78.104166667   -68.771944444  
  77.616        -68.2971      0.09   0.101      78.104166667   -68.771944444  
  77.0862       -68.8867      0.09   0.116      78.104166667   -68.771944444  
  76.947        -68.8867      0.08   0.1125     78.104166667   -68.771944444  
  76.8079       -68.8867      0.05   0.098      78.104166667   -68.771944444  
  76.6687       -68.8867      0.04   0.1        78.104166667   -68.771944444  
  76.6687       -68.7329      0.04   0.0965     78.104166667   -68.771944444  
  77.2253       -68.7329      0.11   0.14       78.104166667   -68.771944444  
  77.0862       -68.7329      0.08   0.11       78.104166667   -68.771944444  
  77.2253       -68.5791      0.1    0.1145     78.104166667   -68.771944444  
  77.0862       -68.5791      0.08   0.1095     78.104166667   -68.771944444  
  76.947        -68.7329      0.06   0.098      78.104166667   -68.771944444  
  76.8079       -68.7329      0.04   0.091      78.104166667   -68.771944444  
  76.947        -68.5791      0.08   0.098      78.104166667   -68.771944444  
  76.8079       -68.5791      0.07   0.1005     78.104166667   -68.771944444  
  77.4338       -68.4286      0.1    0.1085     78.104166667   -68.771944444  
  77.3645       -68.4253      0.09   0.111      78.104166667   -68.771944444  
  77.2253       -68.4253      0.08   0.118      78.104166667   -68.771944444  
  77.0862       -68.4253      0.09   0.112      78.104166667   -68.771944444  
  76.947        -68.4253      0.09   0.1105     78.104166667   -68.771944444  
  77.4805       -68.2971      0.07   0.09       78.104166667   -68.771944444  
  77.4634       -68.2947      0.08   0.088      78.104166667   -68.771944444  
  77.3279       -68.2947      0.08   0.0865     78.104166667   -68.771944444  
  82.4233       -67.9113      0.08   0.0815     81.125         -67.678055556  
  81.9669       -68.221       0.12   0.0925     81.125         -67.678055556  
  81.6971       -68.221       0.11   0.088      81.125         -67.678055556  
  81.4273       -68.221       0.1    0.109      81.125         -67.678055556  
  81.1575       -68.221       0.14   0.141      81.125         -67.678055556  
  82.1528       -67.9113      0.09   0.101      81.125         -67.678055556  
  81.9669       -67.9134      0.09   0.09       81.125         -67.678055556  
  81.6971       -67.9134      0.09   0.0905     81.125         -67.678055556  
  81.4273       -67.9134      0.1    0.0965     81.125         -67.678055556  
  81.1575       -67.9134      0.07   0.093      81.125         -67.678055556  
  80.8877       -68.221       0.13   0.13       81.125         -67.678055556  
  80.6179       -68.221       0.1    0.119      81.125         -67.678055556  
  80.4513       -68.2166      0.1    0.116      81.125         -67.678055556  
  80.1802       -68.2166      0.12   0.1045     81.125         -67.678055556  
  80.8877       -67.9134      0.07   0.1225     81.125         -67.678055556  
  80.6179       -67.9134      0.08   0.128      81.125         -67.678055556  
  80.4513       -67.9099      0.07   0.154      81.125         -67.678055556  
  80.1802       -67.9099      0.13   0.132      81.125         -67.678055556  
  79.9092       -67.9099      0.11   0.101      81.125         -67.678055556  
  83.9595       -71.8437      0.11   0.0751     82.483333333   -72.054722222  
  84.1202       -71.8437      0.11   0.0781     82.483333333   -72.054722222  
  83.7987       -71.8437      0.09   0.074      82.483333333   -72.054722222  
  83.638        -71.8437      0.08   0.074      82.483333333   -72.054722222  
  83.4773       -71.8437      0.07   0.0695     82.483333333   -72.054722222  
  83.3165       -71.8437      0.1    0.0681     82.483333333   -72.054722222  
  83.1558       -71.8437      0.1    0.077      82.483333333   -72.054722222  
  82.9951       -71.8437      0.09   0.0835     82.483333333   -72.054722222  
  82.8343       -71.8437      0.09   0.079      82.483333333   -72.054722222  
  82.6736       -71.8437      0.09   0.079      82.483333333   -72.054722222  
  82.5129       -71.8437      0.09   0.08       82.483333333   -72.054722222  
  82.4768       -71.8475      0.09   0.0845     82.483333333   -72.054722222  
  82.3165       -71.8475      0.12   0.0845     82.483333333   -72.054722222  
  82.1563       -71.8475      0.11   0.07651    82.483333333   -72.054722222  
  82.5129       -71.6905      0.1    0.078      82.483333333   -72.054722222  
  82.4768       -71.6935      0.1    0.07951    82.483333333   -72.054722222  
  82.3165       -71.6935      0.11   0.0835     82.483333333   -72.054722222  
  81.9961       -71.8475      0.09   0.08451    82.483333333   -72.054722222  
  81.8359       -71.8475      0.09   0.078      82.483333333   -72.054722222  
  82.1563       -71.6935      0.09   0.089      82.483333333   -72.054722222  
  81.9961       -71.6935      0.08   0.0955     82.483333333   -72.054722222  
  83.7987       -71.6905      0.11   0.108      82.483333333   -72.054722222  
  83.638        -71.6905      0.1    0.076      82.483333333   -72.054722222  
  83.4773       -71.6905      0.11   0.0755     82.483333333   -72.054722222  
  83.3165       -71.6905      0.09   0.08       82.483333333   -72.054722222  
  83.3165       -71.5372      0.08   0.076      82.483333333   -72.054722222  
  83.1558       -71.6905      0.1    0.084      82.483333333   -72.054722222  
  82.9951       -71.6905      0.11   0.0831     82.483333333   -72.054722222  
  83.1558       -71.5372      0.09   0.0741     82.483333333   -72.054722222  
  82.9951       -71.5372      0.11   0.0711     82.483333333   -72.054722222  
