#\Rows = 210
#\Cols = 17
#\Coordinate system = equ
#\Equinox = J2000
#\Coordinate format = degree
#\Cutout size unit = degree
#\E_B_V is E(B-V), unit = mag
#\AV is A(V), unit = mag
#\Statistics radius = 5.0 arcmin
#\stdev is the standard deviation of the quantity
#\A(V)/E(B-V) = 3.1 is assumed
#\SandF: Schlafly and Finkbeiner 2011 (ApJ 737, 103)
#\SFD: Schlegel et al. 1998 (ApJ 500, 525)
#|ra             |dec            |cutout_size     |E_B_V_SandF       |mean_E_B_V_SandF  |stdev_E_B_V_SandF |max_E_B_V_SandF   |min_E_B_V_SandF   |AV_SandF          |E_B_V_SFD         |mean_E_B_V_SFD    |stdev_E_B_V_SFD   |max_E_B_V_SFD     |min_E_B_V_SFD     |AV_SFD
#|double         |double         |float           |float             |float             |float             |float             |float             |float             |float             |float             |float             |float             |float             |float
#|deg            |deg            |deg             |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags
67.666670       -66.956940      2                0.0349             0.0352             0.0008             0.0369             0.0340             0.1083             0.0406             0.0409             0.0010             0.0429             0.0396             0.1259         
68.908330       -73.731670      2                0.0940             0.0932             0.0034             0.0995             0.0871             0.2913             0.1093             0.1083             0.0039             0.1157             0.1012             0.3388         
69.412500       -66.199440      2                0.0414             0.0404             0.0012             0.0421             0.0377             0.1283             0.0481             0.0470             0.0014             0.0490             0.0438             0.1491         
69.925000       -74.017220      2                0.0770             0.0773             0.0019             0.0815             0.0745             0.2387             0.0895             0.0899             0.0022             0.0947             0.0867             0.2775         
70.808330       -73.811940      2                0.0795             0.0794             0.0017             0.0819             0.0760             0.2465             0.0925             0.0924             0.0019             0.0952             0.0883             0.2866         
72.279170       -67.341670      2                0.1405             0.1398             0.0109             0.1616             0.1234             0.4355             0.1634             0.1626             0.0127             0.1879             0.1435             0.5064         
73.550000       -69.806940      2                0.2500             0.2404             0.0229             0.2781             0.2033             0.7750             0.2907             0.2795             0.0266             0.3233             0.2364             0.9012         
73.754170       -67.714170      2                0.1264             0.1284             0.0149             0.1570             0.1069             0.3919             0.1470             0.1493             0.0173             0.1825             0.1243             0.4557         
74.358330       -67.685280      2                0.2483             0.2298             0.0164             0.2641             0.1980             0.7696             0.2887             0.2672             0.0190             0.3071             0.2302             0.8949         
74.541670       -68.060280      2                0.2737             0.2621             0.0192             0.2941             0.2193             0.8486             0.3183             0.3048             0.0223             0.3420             0.2551             0.9867         
74.712500       -69.957780      2                0.1237             0.1296             0.0128             0.1727             0.1166             0.3836             0.1439             0.1507             0.0149             0.2008             0.1356             0.4460         
74.725000       -67.846940      2                0.2084             0.2069             0.0231             0.2642             0.1785             0.6459             0.2423             0.2406             0.0269             0.3072             0.2075             0.7511         
74.941670       -69.801110      2                0.1148             0.1213             0.0081             0.1381             0.1105             0.3559             0.1335             0.1410             0.0094             0.1606             0.1285             0.4139         
74.970830       -67.923610      2                0.2344             0.2297             0.0219             0.2798             0.1949             0.7267             0.2726             0.2670             0.0255             0.3254             0.2266             0.8450         
76.141670       -68.208330      2                0.2576             0.2823             0.0777             0.5178             0.1948             0.7985             0.2995             0.3282             0.0904             0.6021             0.2265             0.9285         
76.508330       -68.026390      2                0.5513             0.5124             0.1374             0.7150             0.2735             1.7089             0.6410             0.5958             0.1597             0.8314             0.3180             1.9871         
76.895830       -67.460830      2                0.1694             0.1700             0.0090             0.1876             0.1490             0.5252             0.1970             0.1977             0.0105             0.2182             0.1733             0.6107         
76.941670       -67.861390      2                0.1762             0.1892             0.0220             0.2225             0.1420             0.5462             0.2049             0.2200             0.0256             0.2587             0.1651             0.6351         
77.212500       -67.980280      2                0.2470             0.2569             0.0293             0.3422             0.2179             0.7656             0.2872             0.2987             0.0341             0.3979             0.2534             0.8902         
77.345830       -67.778330      2                0.2434             0.2195             0.0400             0.2955             0.1618             0.7544             0.2830             0.2553             0.0465             0.3436             0.1882             0.8772         
77.650000       -70.487500      2                0.2277             0.2436             0.0596             0.3811             0.1802             0.7059             0.2648             0.2832             0.0693             0.4432             0.2095             0.8208         
79.166670       -70.540830      2                0.1443             0.1583             0.0114             0.2021             0.1443             0.4473             0.1678             0.1841             0.0132             0.2351             0.1678             0.5201         
