#ID x   y   F555W   E_555   F555-F814   E_555-814
4275    3896.39 1158.33 19.454  0.019   1.284   0.029
5294    3847.67 1424.39 19.454  0.016   1.074   0.025
13901   1112.03 3158.85 19.454  0.013   1.137   0.022
4611    2996.68 1249.64 19.456  0.009   0.132   0.023
9124    187.39  2428.81 19.456  0.035   1.048   0.061
4693    2039.57 1267.6  19.457  0.011   1.166   0.02
11503   2605.18 2837.35 19.458  0.012   1.153   0.019
15855   3274.07 3439.87 19.458  0.016   1.283   0.022
16235   2736.5  3499.73 19.459  0.011   1.194   0.019
14008   1915.62 3175.03 19.46   0.01    1.14    0.019
1144    1749.95 265.79  19.462  0.024   1.11    0.032
8544    689.04  2304.56 19.462  0.015   1.114   0.024
18150   2614.71 3880.89 19.462  0.012   1.317   0.021
9070    3122.88 2415.42 19.463  0.015   0.108   0.045
14085   1433.12 3187.66 19.463  0.011   1.148   0.017
11762   1971.68 2874.44 19.467  0.012   1.133   0.024
3174    1039.88 839.78  19.468  0.011   1.017   0.017
9368    2028.67 2481.36 19.468  0.014   1.23    0.023
11141   2161.83 2784.93 19.468  0.012   1.156   0.026
5277    2421.1  1419.29 19.469  0.012   0.129   0.026
7119    1329.47 1925.66 19.469  0.029   1.098   0.048
9326    3334.17 2471.29 19.469  0.011   1.142   0.022
13321   1814.63 3085.43 19.469  0.013   1.15    0.024
17070   1834.67 3652.81 19.469  0.016   1.146   0.026
14399   1981.95 3230.61 19.471  0.02    1.152   0.029
499 2613.21 85.39   19.472  0.016   1.086   0.024
5995    2764.35 1622.57 19.472  0.009   0.176   0.023
11496   2421.52 2835.94 19.473  0.016   1.124   0.026
9257    873.64  2454.93 19.476  0.013   1.106   0.021
6117    1386.11 1656.05 19.477  0.021   1.089   0.036
11924   2265.65 2896.73 19.481  0.014   1.115   0.022
5511    3463.47 1489.09 19.482  0.009   0.052   0.021
1998    415.53  507.44  19.483  0.014   1.28    0.022
8395    421.72  2265.25 19.484  0.015   1.132   0.022
9500    878.01  2507.98 19.484  0.012   1.102   0.019
16965   1342.43 3629.08 19.495  0.015   1.138   0.023
18680   1644.09 4011.39 19.496  0.012   0.307   0.029
28  744.79  -123.93 19.498  0.017   0.128   0.039
1174    3516.35 273.61  19.499  0.011   0.244   0.02
9280    1652.13 2461.14 19.499  0.016   1.279   0.027
8787    2348.1  2356.05 19.5    0.016   1.137   0.026
10094   657.91  2616.82 19.5    0.012   1.083   0.02
10632   1074.16 2706.83 19.5    0.013   1.204   0.022
15390   3919.73 3369.87 19.5    0.015   1.165   0.024
8054    2336.81 2183.41 19.501  0.011   0.096   0.028
8325    1158.41 2249.37 19.504  0.015   1.144   0.027
10668   2337.74 2714    19.505  0.014   1.154   0.024
17485   1897.65 3736.04 19.506  0.014   1.169   0.021
213 842.13  -7.16   19.507  0.016   0.093   0.032
8648    673.22  2325.57 19.507  0.015   1.064   0.023
