#ID x   y   F555    E_555   F555-F814   e_ff-14 F814    E_814
544 248.82  123 21.783  0.01    0.358   0.02    21.425  0.01
7836    248.91  1883.88 21.859  0.01    0.294   0.02    21.565  0.01
21644   249.82  3254.67 22.681  0.017   0.503   0.037   22.178  0.02
2078    250.04  651.43  20.771  0.01    0.982   0.02    19.789  0.01
14230   250.1   2503.67 22.347  0.01    0.47    0.021   21.877  0.011
14077   250.16  2491.42 22.146  0.01    0.382   0.02    21.764  0.01
23761   252.39  3643.67 20.849  0.01    0.421   0.02    20.428  0.01
41999   252.45  4144.09 22.589  0.012   0.5 0.022   22.089  0.01
12291   254.09  2335.25 21.518  0.011   0.217   0.021   21.301  0.01
12739   254.86  2374.98 22.946  0.022   0.53    0.045   22.416  0.023
1898    255 595.41  20.598  0.01    0.907   0.02    19.691  0.01
7483    255.26  1836.3  19.825  0.009   1.068   0.018   18.757  0.009
23619   255.46  3612.02 19.445  0.008   0.968   0.016   18.477  0.008
19191   255.51  2954.29 21.155  0.01    0.259   0.02    20.896  0.01
23221   255.65  3534.73 22.136  0.01    0.371   0.023   21.765  0.013
18145   255.75  2851.2  21.823  0.01    0.181   0.02    21.642  0.01
25216   255.75  3997.04 22.13   0.01    0.314   0.02    21.816  0.01
3785    256.07  1147.96 22.538  0.012   0.425   0.026   22.113  0.014
17582   256.44  2796.46 21.225  0.01    0.324   0.02    20.901  0.01
25055   256.96  3960.65 22.801  0.015   0.569   0.028   22.232  0.013
4993    257.16  1428.81 21.483  0.01    0.948   0.02    20.535  0.01
21112   258.04  3182.68 22.59   0.011   0.424   0.023   22.166  0.012
809 258.6   217.68  22.972  0.016   0.556   0.029   22.416  0.013
3384    258.76  1044.69 20.818  0.01    0.304   0.02    20.514  0.01
14036   258.77  2488.54 20.887  0.01    0.948   0.02    19.939  0.01
13910   259.76  2476.3  22.229  0.01    0.417   0.023   21.812  0.013
21310   260.13  3209.62 22.647  0.011   0.609   0.024   22.038  0.013
8922    261.09  2009.91 22.275  0.01    0.348   0.022   21.927  0.012
3174    261.57  988.59  21.334  0.011   0.485   0.021   20.849  0.01
12234   261.7   2328.54 21.488  0.01    0.318   0.02    21.17   0.01
9558    261.82  2080.12 21.527  0.021   0.265   0.037   21.262  0.016
11334   262.79  2248.79 19.458  0.01    0.952   0.018   18.506  0.008
16956   262.99  2741.61 21.896  0.01    0.308   0.02    21.588  0.01
12039   263.1   2311.57 22.403  0.044   0.497   0.099   21.906  0.055
5417    263.53  1513.9  22.916  0.016   0.518   0.029   22.398  0.013
7297    263.93  1812.44 22.137  0.011   0.609   0.021   21.528  0.01
6227    264.38  1648.29 21.66   0.011   0.284   0.021   21.376  0.01
7602    264.45  1853.01 22.863  0.012   0.547   0.026   22.316  0.014
25366   265.69  4046.26 21.694  0.01    0.601   0.02    21.093  0.01
11781   265.87  2288.24 22.797  0.013   0.535   0.026   22.262  0.013
1547    266.06  480.01  22.45   0.012   0.62    0.024   21.83   0.012
4444    266.23  1305.73 21.172  0.01    0.343   0.02    20.829  0.01
28787   266.29  355.83  18.336  0.008   3.75    0.019   14.586  0.011
24053   266.61  3710.03 21.953  0.01    0.387   0.02    21.566  0.01
979 266.96  282.66  21.878  0.018   0.963   0.03    20.915  0.012
4082    267.43  1224.84 21.933  0.01    0.397   0.021   21.536  0.011
19271   268.58  2962.24 22.767  0.012   0.528   0.03    22.239  0.018
20252   268.8   3073.28 18.021  0.008   0.969   0.016   17.052  0.008
761 269.05  193.77  22.957  0.012   0.629   0.025   22.328  0.013
11336   269.07  2248.87 17.799  0.009   -0.021  0.018   17.82   0.009
21732   269.41  3269.04 22.98   0.013   0.576   0.028   22.404  0.015
15986   270.49  2654.36 21.08   0.011   0.303   0.021   20.777  0.01
21889   270.6   3292.77 19.375  0.008   0.964   0.016   18.411  0.008
1520    271.06  472.39  22.662  0.012   0.489   0.024   22.173  0.012
23339   271.08  3557.19 22.637  0.015   0.513   0.028   22.124  0.013
19563   271.47  2998.21 22.409  0.011   0.415   0.022   21.994  0.011
2023    271.53  635.63  22.774  0.012   0.621   0.024   22.153  0.012
22734   271.7   3438.95 22.679  0.012   0.548   0.032   22.131  0.02
