#ID x   y   T1  e_T1    CT1 e_CT1
133575  7280.352    976.842 16.82   0.011   2.416   0.014
137363  7471.883    1031.925    16.82   0.007   -0.466  0.009
143889  7801.866    572.331 16.823  0.015   2.758   0.016
257366  6833.245    2756.217    16.832  0.018   2.479   0.019
144786  7846.203    608.47  16.837  0.012   1.44    0.013
98107   5578.165    1002.503    16.838  0.008   2.768   0.009
101449  5741.604    1236.974    16.838  0.009   2.47    0.01
117692  6562.289    1364.707    16.84   0.007   2.437   0.009
124288  6863.458    2008.726    16.841  0.025   2.632   0.03
275479  7855.408    2423.883    16.841  0.006   2.341   0.03
144061  7810.229    1877.564    16.842  0.004   1.892   0.008
240654  5812.209    2382.297    16.844  0.013   2.246   0.014
137865  7496.339    577.595 16.845  0.007   -0.431  0.017
244541  6075.813    2283.067    16.847  0.021   2   0.022
148521  8040.354    1737.235    16.848  0.006   2.368   0.007
240964  5829.648    2974.272    16.85   0.006   3.077   0.008
119464  6650.51 893.616 16.852  0.004   2.421   0.007
126710  6970.479    1907.606    16.857  0.068   1.843   0.077
141701  7689.468    1577.749    16.858  0.005   0.967   0.006
267191  7375.441    2320.078    16.864  0.004   -0.48   0.016
139632  7583.5  1745.644    16.867  0.005   2.256   0.015
144405  7826.517    899.478 16.869  0.012   2.463   0.014
134010  7302.307    1277.599    16.875  0.005   2.589   0.009
270244  7552.074    2460.914    16.881  0.008   0.069   0.009
136304  7415.879    2038.606    16.886  0.002   2.371   0.007
129891  7110.441    1966.709    16.89   0.009   2.178   0.019
255175  6706.934    2239.814    16.891  0.01    1.501   0.01
141596  7683.09 672.981 16.891  0.014   1.608   0.016
107798  6066.152    1516.426    16.893  0.017   2.15    0.019
115928  6475.559    1155.675    16.893  0.004   2.429   0.006
127877  7021.949    2009.407    16.894  0.024   2.242   0.031
130804  7149.058    1792.781    16.894  0.004   2.777   0.016
265283  7268.334    3028.695    16.894  0.008   2.085   0.014
122761  6797.459    1990.324    16.897  0.007   2.149   0.01
139978  7601.016    1531.218    16.897  0.004   -0.559  0.012
127146  6989.402    1882.693    16.898  0.019   1.788   0.028
139660  7584.845    643.747 16.901  0.008   -0.495  0.016
126702  6970.052    2007.282    16.903  0.01    1.795   0.054
273239  7728.504    2661.651    16.903  0.009   2.956   0.01
279570  8094.591    2327.324    16.903  0.014   2.374   0.015
106106  5974.593    1407.727    16.906  0.012   1.836   0.013
148738  8050.6  1110.78 16.906  0.01    1.634   0.011
251521  6494.372    2305.179    16.908  0.028   2.64    0.028
265248  7266.229    2802.871    16.913  0.003   2.485   0.006
126179  6945.549    1900.4  16.917  0.075   1.951   0.094
134365  7319.922    1040.329    16.923  0.007   2.773   0.011
107086  6032.675    2040.185    16.924  0.012   -0.04   0.016
127141  6989.222    1960.796    16.925  0.152   1.832   0.157
139383  7571.575    1297.744    16.935  0.005   1.461   0.007
258772  6908.376    2344.823    16.938  0.009   -0.038  0.011
278335  8022.137    2897.337    16.94   0.012   2.542   0.013
150378  8142.861    1771.272    16.941  0.007   2.309   0.008
249264  6363.121    2251.234    16.943  0.039   2.477   0.039
125672  6921.058    1864.575    16.944  0.009   2.018   0.019
122537  6788.184    2048.544    16.946  0.005   0.939   0.006
134107  7306.424    1136.056    16.947  0.004   1.06    0.005
104955  5916.547    1058.109    16.951  0.012   -0.414  0.013
99341   5638.396    1299.267    16.955  0.009   2.486   0.01
122476  6785.317    1802.21 16.957  0.006   2.371   0.01
124129  6855.477    2069.489    16.961  0.029   2.142   0.03
240031  5776.358    2363.102    16.965  0.007   1.881   0.008
273253  7729.182    3199.787    16.967  0.004   2.149   0.006
269588  7513.876    2899.245    16.968  0.005   0.289   0.006
130903  7152.793    1892.958    16.971  0.004   2.239   0.011
125850  6930.105    1962.344    16.972  0.105   1.459   0.107
122198  6772.584    1672.466    16.973  0.005   2.55    0.006
240909  5826.725    2825.256    16.977  0.007   2.489   0.008
132319  7219.534    733.062 16.977  0.006   -0.613  0.023
103994  5869.936    679.664 16.979  0.009   -0.437  0.01
120691  6706.928    1911.157    16.983  0.008   1.906   0.009
253810  6629.217    3061.119    16.984  0.018   1.075   0.022
127216  6992.056    1888.876    16.992  0.118   1.78    0.12
266140  7315.286    2932.293    16.996  0.004   2.168   0.008
109744  6160.041    569.547 16.998  0.008   2.264   0.009
240104  5780.683    2778.273    17  0.007   2.322   0.009
262047  7087.946    2598.459    17  0.003   2.451   0.052
142836  7746.172    541.95  17.002  0.013   1.902   0.02
103584  5849.817    794.961 17.003  0.011   -0.275  0.014
135228  7361.985    1480.036    17.003  0.004   2.426   0.006
127600  7008.786    2013.106    17.005  0.008   2.454   0.013
134106  7306.416    1910.968    17.006  0.004   2.672   0.006
134006  7302.13 1841.028    17.007  0.003   2.273   0.006
259781  6963.315    3173.465    17.008  0.004   2.19    0.005
125444  6910.521    1996.408    17.009  0.032   0.25    0.033
254965  6695.48 2632.902    17.01   0.01    1.048   0.01
114079  6387.194    566.874 17.013  0.004   2.212   0.006
125615  6918.12 729.64  17.014  0.004   1.461   0.006
270234  7551.45 3064.611    17.014  0.005   0.985   0.006
274764  7814.658    2645.543    17.016  0.004   0.041   0.005
133176  7260.799    1264.322    17.017  0.009   2.347   0.01
121373  6736.723    1169.045    17.018  0.003   1.523   0.006
124332  6864.899    1922.435    17.023  0.006   1.973   0.014
123591  6832.213    2036.518    17.024  0.004   2.358   0.006
112627  6308.319    1606.206    17.025  0.004   1.916   0.005
116153  6485.97 716.846 17.026  0.003   2.594   0.01
132012  7205.035    503.938 17.028  0.015   -0.289  0.017
143207  7765.4  766.43  17.028  0.011   2.356   0.018
113673  6365.552    1763.518    17.03   0.004   0.828   0.005
125252  6902.135    1955.787    17.036  0.073   2.354   0.093
267853  7411.951    2303.468    17.036  0.002   1.746   0.003
126210  6946.724    1848.241    17.043  0.011   1.839   0.016
145286  7871.567    1232.804    17.043  0.006   2.272   0.009
