#ID	x	y	T1	e_T1	CT1	e_CT1
97614	5554.192	1290.106	22.032	0.029	0.711	0.047
97615	5554.207	1730.405	22.29	0.054	0.863	0.074
97616	5554.278	655.524	22.735	0.059	0.477	0.089
97617	5554.344	1262.924	22.074	0.032	0.486	0.053
97618	5554.375	1677.704	20.897	0.016	-0.02	0.019
97619	5554.404	738.695	22.55	0.06	0.51	0.222
97621	5554.427	1920.692	21.929	0.04	0.701	0.054
236130	5554.454	2777.776	22.558	0.165	-0.105	0.17
97622	5554.456	634.956	22.323	0.065	0.391	0.08
97624	5554.554	1781.937	23.059	0.059	0.687	0.107
236133	5554.562	3028.301	22.334	0.053	-0.078	0.063
97625	5554.631	1423.132	22.709	0.092	0.45	0.108
236134	5554.65	2175.93	19.785	0.019	1.348	0.021
236135	5554.679	2912.273	21.765	0.03	0.657	0.098
236136	5554.709	2606.396	22.316	0.045	0.346	0.082
236137	5554.794	2413.916	20.288	0.01	1.384	0.018
236138	5554.867	2903.298	23.202	0.089	0.835	0.127
97627	5554.875	1152.108	19.173	0.007	0.321	0.009
236140	5554.979	2823.013	20.4	0.012	-0.244	0.013
236141	5554.982	2263.408	21.45	0.027	0.865	0.123
236142	5555.001	2712.03	23.094	0.084	0.918	0.131
97628	5555.05	1924.944	20.887	0.02	0.301	0.026
97630	5555.059	1144.335	22.26	0.06	0.755	0.081
236143	5555.064	2891.913	20.121	0.006	-0.06	0.009
97632	5555.15	1843.991	22.16	0.034	0.59	0.047
97633	5555.251	1513.171	22.837	0.063	0.678	0.094
236146	5555.257	2200.7	22.841	0.074	0.598	0.09
97634	5555.298	1177.72	19.322	0.007	1.256	0.01
97636	5555.312	596.497	21.722	0.056	0.157	0.081
236149	5555.402	2268.55	22.078	0.071	0.718	0.102
97637	5555.404	1949.591	18.913	0.007	1.429	0.009
236150	5555.422	2790.133	22.345	0.042	0.753	0.067
97638	5555.437	868.853	21.01	0.073	-0.074	0.075
236151	5555.452	2353.886	22.01	0.035	0.855	0.051
97639	5555.457	567.52	21.927	0.029	0.811	0.045
97640	5555.506	1127.248	21.625	0.045	0.784	0.062
97641	5555.507	891.985	23.001	0.066	0.708	0.105
97644	5555.586	606.609	21.861	0.031	0.754	0.043
97645	5555.589	1111.93	21.948	0.034	0.481	0.054
236153	5555.636	2530.972	22.398	0.048	0.293	0.06
236154	5555.717	2690.399	21.692	0.022	0.327	0.03
97647	5555.867	1092.775	21.584	0.035	0.476	0.052
236155	5555.874	3124.13	21.464	0.021	0.642	0.031
97648	5555.888	2029.366	22.253	0.038	0.686	0.068
97650	5555.924	1439.96	23.029	0.058	0.313	0.086
236157	5555.99	2634.291	22.299	0.121	0.635	0.138
97652	5556.067	2065.398	20.946	0.011	0.334	0.016
97654	5556.102	1136.003	20.38	0.019	1.173	0.031
236158	5556.139	2495.647	21.064	0.015	0.014	0.017
97656	5556.162	681.341	22.224	0.045	0.384	0.059
236159	5556.166	2507.298	22.519	0.042	0.678	0.08
97657	5556.283	615.025	22.12	0.086	2.256	0.209
236162	5556.289	2816.137	23.318	0.089	1.226	0.177
97660	5556.493	1644.56	20.848	0.016	0.485	0.02
97661	5556.503	1363.797	19.146	0.005	1.416	0.009
97662	5556.533	552.987	22.675	0.052	0.463	0.074
97663	5556.632	1475.23	23.128	0.074	0.565	0.11
236165	5556.681	2488.311	22.162	0.04	0.604	0.057
97664	5556.729	1209.128	23.057	0.072	-0.014	0.089
236167	5556.737	2256.564	21.464	0.023	0.586	0.029
236168	5556.773	2963.466	22.867	0.06	0.786	0.1
236170	5556.789	2730.831	23.336	0.09	0.532	0.19
97665	5556.791	1709.853	18.834	0.011	1.52	0.014
97667	5556.856	1557.653	22.574	0.055	0.941	0.102
236174	5556.888	3165.395	20.372	0.01	-0.168	0.012
97668	5556.987	1000.499	23.424	0.119	-0.403	0.137
97670	5557.045	840.187	18.928	0.017	1.147	0.018
236176	5557.045	2735.392	22.873	0.082	0.605	0.127
97672	5557.065	1834.019	22.433	0.037	0.743	0.1
97673	5557.068	1238.371	23.157	0.079	0.752	0.112
236177	5557.071	2419.373	21.263	0.017	1.327	0.036
97674	5557.182	599.42	21.959	0.049	0.689	0.074
236179	5557.184	2227.458	22.285	0.039	0.643	0.063
97675	5557.205	705.121	19.777	0.01	-0.3	0.011
97676	5557.249	921.209	23.185	0.076	0.948	0.181
97677	5557.268	1221.475	20.931	0.015	0.402	0.027
97678	5557.299	1889.515	20.943	0.027	0.335	0.034
236181	5557.407	2106.025	19.081	0.009	1.534	0.016
97679	5557.416	1338.463	22.741	0.051	0.79	0.088
236183	5557.529	2088.176	21.024	0.022	0.604	0.046
97681	5557.555	1217.26	21.308	0.036	0.116	0.058
97682	5557.569	1735.663	22.959	0.074	1.098	0.138
97683	5557.571	768.3	22.41	0.106	1.146	0.209
97684	5557.585	816.163	22.262	0.043	0.489	0.062
97685	5557.622	1402.106	20.717	0.027	1.313	0.116
236185	5557.648	2242.357	19.959	0.028	1.274	0.031
97686	5557.651	933.71	22.031	0.047	0.738	0.07
97688	5557.699	1302.364	22.81	0.106	0.603	0.123
97689	5557.74	1987.72	20.263	0.053	0.643	0.056
236186	5557.769	2315.948	21.962	0.024	0.538	0.047
97691	5557.81	1907.091	22.257	0.032	0.514	0.045
97692	5557.892	868.122	19.006	0.009	1.295	0.033
236188	5557.904	2462.812	21.119	0.019	1.194	0.038
97693	5557.951	1358.966	22.167	0.059	0.803	0.084
97695	5558.136	1141.959	22.048	0.059	0.892	0.126
236190	5558.178	2347.978	17.986	0.006	2.844	0.01
97696	5558.224	1652.766	22.948	0.056	0.774	0.097
97697	5558.241	1195.532	22.771	0.081	0.818	0.146
236191	5558.288	2848.62	22.338	0.049	0.58	0.067
97698	5558.315	1693.224	22.402	0.051	0.431	0.155
97699	5558.318	1257.466	21.366	0.023	1.154	0.061
97701	5558.37	927.689	18.911	0.006	1.29	0.008
97702	5558.371	1199.464	22.768	0.073	0.504	0.118
236194	5558.434	2429.668	21.288	0.064	-0.467	0.071
97705	5558.615	1829.597	20.993	0.013	0.01	0.026
236196	5558.651	2950.554	20.534	0.011	0.288	0.014
236197	5558.707	2221.749	22.843	0.057	0.692	0.092
97707	5558.715	1659.427	21.833	0.027	0.581	0.036
236198	5558.717	2680.65	22.282	0.033	0.679	0.053
236199	5558.752	3132.614	20.643	0.011	-0.154	0.014
97708	5558.831	848.103	21.389	0.016	1.009	0.038
236201	5558.882	2338.647	23.295	0.126	0.903	0.172
236202	5558.908	2165.577	23.063	0.07	0.886	0.123
97709	5558.939	1289.812	22.154	0.035	0.287	0.063
97710	5558.986	1895.533	21.232	0.019	0.709	0.093
97711	5559.018	1757.256	21.389	0.017	0.585	0.025
97712	5559.038	578.164	21.205	0.02	0.034	0.023
97713	5559.051	1690.13	21.638	0.041	0.494	0.092
97714	5559.056	1959.745	22.557	0.045	0.8	0.074
236204	5559.056	3018.478	22.877	0.055	0.569	0.084
236205	5559.1	2096.862	22.928	0.06	0.388	0.088
236206	5559.115	3193.374	21.108	0.02	0.144	0.023
236207	5559.116	2085.155	21.534	0.04	0.006	0.046
97716	5559.118	1721.213	22.346	0.038	0.75	0.1
97717	5559.169	1823.282	21.557	0.016	0.987	0.035
236208	5559.182	2331.867	23.389	0.094	1.06	0.161
236210	5559.247	2398.058	22.143	0.038	0.664	0.052
97719	5559.267	1521.424	22.662	0.058	1.029	0.107
97720	5559.283	582.937	19.737	0.008	3.123	0.058
236211	5559.301	2843.786	22.198	0.041	0.435	0.053
236212	5559.367	2765.277	20.052	0.014	0.1	0.016
97721	5559.401	755.163	21.764	0.025	0.582	0.049
