#ID	x	y	F555	E_555	F555-F814	e_ff-14	F814	E_814	x_moved	y_moved
29840	117	757.24	25.728	0.164	1.051	0.239	24.677	0.075	418	1757.24
10513	117.2	2171.26	23.051	0.026	0.631	0.051	22.42	0.025	418.2	3171.26
30450	117.29	973.99	26.539	0.388	0.956	0.674	25.583	0.286	418.29	1973.99
40032	117.39	3559.53	24.647	0.05	0.822	0.088	23.825	0.038	418.39	4559.53
10349	117.57	2157.13	22.889	0.015	0.513	0.033	22.376	0.018	418.57	3157.13
42354	117.63	4198	24.85	0.042	0.844	0.074	24.006	0.032	418.63	5198
39305	117.73	3342.46	25.555	0.098	0.928	0.145	24.627	0.047	418.73	4342.46
6334	117.88	1667.49	23.952	0.038	0.69	0.058	23.262	0.02	418.88	2667.49
38298	118.03	3088.41	25.204	0.062	0.927	0.108	24.277	0.046	419.03	4088.41
3709	118.08	1127.5	25.306	0.1	0.981	0.185	24.325	0.085	419.08	2127.5
34828	118.08	2185.92	25.561	0.087	0.912	0.161	24.649	0.074	419.08	3185.92
35655	118.21	2409.28	25.504	0.085	0.896	0.156	24.608	0.071	419.21	3409.28
31670	118.26	1362.02	26.286	0.3	1.052	0.422	25.234	0.122	419.26	2362.02
4791	118.29	1380.21	21.901	0.013	0.312	0.026	21.589	0.013	419.29	2380.21
2600	118.43	818.76	22.945	0.015	0.512	0.029	22.433	0.014	419.43	1818.76
39661	118.46	3442.87	23.591	0.022	0.668	0.04	22.923	0.018	419.46	4442.87
38429	118.5	3119.26	25.353	0.067	0.888	0.118	24.465	0.051	419.5	4119.26
2702	118.75	851.93	24.297	0.033	0.853	0.058	23.444	0.025	419.75	1851.93
6811	118.8	1741.47	24.419	0.035	0.771	0.063	23.648	0.028	419.8	2741.47
37093	118.94	2785.19	24.901	0.059	0.977	0.115	23.924	0.056	419.94	3785.19
38970	119.07	3256.76	26.232	0.238	1.064	0.329	25.168	0.091	420.07	4256.76
10821	119.12	2199.19	22.47	0.012	0.558	0.025	21.912	0.013	420.12	3199.19
3901	119.26	1174.67	17.102	0.012	1.417	0.025	15.685	0.013	420.26	2174.67
28387	119.43	202.71	25.692	0.133	1.129	0.19	24.563	0.057	420.43	1202.71
1422	119.52	436.16	22.405	0.012	0.522	0.023	21.883	0.011	420.52	1436.16
41563	119.55	4050.96	24.323	0.05	0.721	0.077	23.602	0.027	420.55	5050.96
41774	119.63	4104.96	25.727	0.105	1.057	0.162	24.67	0.057	420.63	5104.96
11338	119.77	2248.95	21.827	0.01	0.489	0.02	21.338	0.01	420.77	3248.95
36201	119.8	2550.61	25.588	0.09	0.952	0.148	24.636	0.058	420.8	3550.61
39372	119.87	3360.08	20.534	0.01	0.017	0.02	20.517	0.01	420.87	4360.08
34374	119.97	2069.29	26.009	0.165	1.072	0.238	24.937	0.073	420.97	3069.29
5330	120.14	1498.36	21.597	0.01	0.184	0.02	21.413	0.01	421.14	2498.36
39479	120.32	3390.34	24.483	0.033	0.826	0.057	23.657	0.024	421.32	4390.34
15076	120.41	2576.65	23.045	0.014	0.539	0.03	22.506	0.016	421.41	3576.65
5384	120.44	1508.2	25.564	0.087	0.991	0.146	24.573	0.059	421.44	2508.2
5094	120.53	1451.9	20.906	0.011	0.31	0.022	20.596	0.011	421.53	2451.9
38493	120.55	3133.06	24.781	0.041	0.859	0.07	23.922	0.029	421.55	4133.06
2315	120.6	729.64	24.447	0.034	0.845	0.06	23.602	0.026	421.6	1729.64
28714	121.37	329.93	26.573	0.45	1.145	0.601	25.428	0.151	422.37	1329.93
18948	121.47	2929.15	23.467	0.022	0.799	0.042	22.668	0.02	422.47	3929.15
19013	121.63	2936.66	23.385	0.018	0.615	0.033	22.77	0.015	422.63	3936.66
16813	121.78	2729.24	23.841	0.025	0.729	0.044	23.112	0.019	422.78	3729.24
41248	121.98	3943.37	24.379	0.033	0.733	0.059	23.646	0.026	422.98	4943.37
41197	122.24	3928.42	24.981	0.053	0.863	0.085	24.118	0.032	423.24	4928.42
40091	122.29	3580.38	25.832	0.099	0.905	0.22	24.927	0.121	423.29	4580.38
41399	122.41	3998.88	22.313	0.011	0.432	0.022	21.881	0.011	423.41	4998.88
20962	122.51	3162.23	24.281	0.047	0.761	0.069	23.52	0.022	423.51	4162.23
39919	122.89	3519.92	25.559	0.079	0.997	0.135	24.562	0.056	423.89	4519.92
41894	122.9	4127.28	25.745	0.118	1.176	0.19	24.569	0.072	423.9	5127.28
32037	123.1	1466.01	25.672	0.133	0.954	0.208	24.718	0.075	424.1	2466.01
13352	123.12	2427.72	24.219	0.03	0.758	0.065	23.461	0.035	424.12	3427.72
39208	123.3	3318.55	25.266	0.069	0.903	0.115	24.363	0.046	424.3	4318.55
29285	123.45	553.67	26.768	0.497	1.182	0.671	25.586	0.174	424.45	1553.67
30635	123.71	1028.95	25.493	0.08	0.993	0.13	24.5	0.05	424.71	2028.95
5857	123.8	1590.15	21.369	0.01	0.313	0.02	21.056	0.01	424.8	2590.15
39863	123.84	3506.1	24.168	0.039	0.739	0.064	23.429	0.025	424.84	4506.1
1677	124.28	521.9	24.716	0.04	0.827	0.077	23.889	0.037	425.28	1521.9
3577	124.36	1092.3	22.283	0.01	0.426	0.02	21.857	0.01	425.36	2092.3
11182	124.4	2234.4	22.389	0.01	0.435	0.021	21.954	0.011	425.4	3234.4
28596	124.41	278.08	26.175	0.249	1.075	0.329	25.1	0.08	425.41	1278.08
34957	124.74	2215.76	25.494	0.086	1.037	0.16	24.457	0.074	425.74	3215.76
14426	124.96	2520.35	23.247	0.042	0.643	0.081	22.604	0.039	425.96	3520.35
39162	125.23	3306.91	23.727	0.021	0.634	0.039	23.093	0.018	426.23	4306.91
41303	125.36	3967.02	25.331	0.079	0.933	0.13	24.398	0.051	426.36	4967.02
29397	125.46	595.05	26.073	0.202	0.989	0.304	25.084	0.102	426.46	1595.05
39284	125.54	3338.03	25.115	0.058	0.877	0.095	24.238	0.037	426.54	4338.03
27980	125.7	35.19	25.513	0.091	1.089	0.151	24.424	0.06	426.7	1035.19
634	125.74	149.64	24.103	0.034	0.721	0.056	23.382	0.022	426.74	1149.64
12043	126.29	2311.65	24.989	0.054	0.777	0.093	24.212	0.039	427.29	3311.65
35499	126.41	2366.29	24.706	0.045	0.827	0.081	23.879	0.036	427.41	3366.29
32362	126.43	1564.95	25.762	0.137	1.168	0.188	24.594	0.051	427.43	2564.95
4098	126.52	1227.56	23.794	0.029	0.905	0.058	22.889	0.029	427.52	2227.56
17103	126.57	2754.32	20.853	0.01	0.244	0.02	20.609	0.01	427.57	3754.32
40510	126.82	3708.14	25.12	0.054	0.814	0.096	24.306	0.042	427.82	4708.14
896	126.87	255.85	23.312	0.022	0.588	0.043	22.724	0.021	427.87	1255.85
42285	127.12	4187.38	24.555	0.077	0.795	0.104	23.76	0.027	428.12	5187.38
39930	127.21	3526.77	25.667	0.092	0.927	0.165	24.74	0.073	428.21	4526.77
18071	127.48	2844.09	23.739	0.02	0.756	0.044	22.983	0.024	428.48	3844.09
33318	127.49	1820.74	25.474	0.073	0.883	0.141	24.591	0.068	428.49	2820.74
18358	127.66	2871.76	22.724	0.011	0.568	0.024	22.156	0.013	428.66	3871.76
20309	127.69	3079.03	22.832	0.012	0.524	0.025	22.308	0.013	428.69	4079.03
37218	127.83	2814.54	26.357	0.253	1.529	0.327	24.828	0.074	428.83	3814.54
2917	127.95	918.01	24.113	0.025	0.721	0.046	23.392	0.021	428.95	1918.01
29551	127.96	651.39	26.203	0.35	1.017	0.44	25.186	0.09	428.96	1651.39
41908	127.96	4129.51	24.123	0.027	0.767	0.05	23.356	0.023	428.96	5129.51
34418	128.58	2079.12	25.749	0.158	1.069	0.235	24.68	0.077	429.58	3079.12
39383	128.62	3363.49	24.991	0.086	0.92	0.142	24.071	0.056	429.62	4363.49
650	128.87	157	23.253	0.019	0.637	0.036	22.616	0.017	429.87	1157
8219	129.06	1929.41	23.315	0.018	0.731	0.032	22.584	0.014	430.06	2929.41
35550	129.13	2378.72	25.489	0.078	0.873	0.124	24.616	0.046	430.13	3378.72
37168	129.18	2801.47	26.311	0.228	1.264	0.342	25.047	0.114	430.18	3801.47
6105	129.65	1626.71	21.797	0.011	0.62	0.024	21.177	0.013	430.65	2626.71
35007	129.68	2227.18	25.441	0.083	0.864	0.154	24.577	0.071	430.68	3227.18
218	129.78	9.5	19.609	0.009	0.983	0.018	18.626	0.009	430.78	1009.5
37116	129.89	2790.1	26.035	0.199	1.229	0.262	24.806	0.063	430.89	3790.1
1937	129.94	610	25.416	0.113	0.863	0.173	24.553	0.06	430.94	1610
34842	130.1	2188.43	25.959	0.191	0.922	0.281	25.037	0.09	431.1	3188.43
37751	130.15	2949.92	25.106	0.069	0.946	0.116	24.16	0.047	431.15	3949.92
20491	130.49	3103.1	24.248	0.035	0.718	0.072	23.53	0.037	431.49	4103.1
327	130.55	45.52	24.382	0.056	0.857	0.087	23.525	0.031	431.55	1045.52
4466	130.74	1309.35	22.098	0.01	0.283	0.023	21.815	0.013	431.74	2309.35
15102	131.02	2578.26	24.833	0.05	0.825	0.079	24.008	0.029	432.02	3578.26
3796	131.06	1151.41	24.895	0.059	0.927	0.117	23.968	0.058	432.06	2151.41
4798	131.41	1381.67	23.956	0.026	0.683	0.047	23.273	0.021	432.41	2381.67
1844	131.46	581.99	21.274	0.011	0.525	0.023	20.749	0.012	432.46	1581.99
10931	131.61	2210.27	24.617	0.055	0.827	0.101	23.79	0.046	432.61	3210.27
13804	131.67	2467.06	21.583	0.01	0.255	0.02	21.328	0.01	432.67	3467.06
15312	131.93	2596.35	23.997	0.022	0.684	0.042	23.313	0.02	432.93	3596.35
30199	132.36	889.97	26.326	0.415	1.016	0.532	25.31	0.117	433.36	1889.97
41652	132.67	4077.01	25.822	0.286	1.295	0.586	24.527	0.3	433.67	5077.01
38720	133.09	3191.63	26.152	0.361	1.233	0.468	24.919	0.107	434.09	4191.63
40515	133.16	3708.96	25.744	0.122	1.063	0.173	24.681	0.051	434.16	4708.96
39635	133.29	3435.48	24.438	0.033	0.969	0.072	23.469	0.039	434.29	4435.48
7372	133.46	1822.33	24.261	0.036	0.757	0.072	23.504	0.036	434.46	2822.33
18428	133.62	2878.3	24.301	0.026	0.757	0.055	23.544	0.029	434.62	3878.3
8806	133.79	1996.74	23.633	0.019	0.581	0.035	23.052	0.016	434.79	2996.74
6542	133.91	1700.14	24.214	0.027	0.815	0.054	23.399	0.027	434.91	2700.14
35072	134.07	2247.28	26.075	0.292	1.01	0.437	25.065	0.145	435.07	3247.28
41296	134.07	3963.32	23.513	0.025	0.616	0.044	22.897	0.019	435.07	4963.32
