#
# Age1: log(age)_DB
# Age2: log(age)_asteca
#
# Mass1: Mass_DB
# Mass2: Mass_asteca
#
#DB   GAL      NAME   Age1  e_age  Age2  e_age      Mass1   e_mass    Mass2   e_mass  E_BV/VI  quality/class
#
G10   SMC       L58   9.00   0.50  9.05   0.07      -1.00       -1     -1.0     -1.0     0.02       --
G10   LMC   NGC1863   7.80   0.40   8.0    0.9      -1.00       -1     -1.0     -1.0     0.15       --
G10   LMC  KMHK1055   8.80   0.50   9.0    1.0      -1.00       -1     -1.0     -1.0     0.05       --
G10   SMC       B34   8.70   0.30  9.05   0.07      -1.00       -1     -1.0     -1.0     0.14       --
G10   SMC       L45   8.20   0.50   8.0    0.3      -1.00       -1     -1.0     -1.0     0.08       --
G10   LMC   H88-320   8.00   0.40   8.1    0.3      -1.00       -1     -1.0     -1.0     0.15       --
G10   LMC     HS412   8.10   0.30   8.2    0.3      -1.00       -1     -1.0     -1.0     0.15       --
G10   SMC      HW31   8.90   0.30   9.5   0.05      -1.00       -1     -1.0     -1.0     0.03       --
G10   SMC       L72   7.50   0.30   7.8    0.3      -1.00       -1     -1.0     -1.0     0.08       --
G10   LMC   H88-316   8.00   0.40   7.7    0.2      -1.00       -1     -1.0     -1.0      0.3       --
G10   LMC   KMHK378   7.40   0.30   8.3    0.9      -1.00       -1     -1.0     -1.0     0.08       --
G10   LMC   BSDL268   7.50   0.30   8.1    0.4      -1.00       -1     -1.0     -1.0      0.1       --
G10   LMC     SL510   8.30   0.40   8.3    0.2      -1.00       -1     -1.0     -1.0      0.1       --
G10   LMC   NGC2093   7.70   0.40   8.0    0.4      -1.00       -1     -1.0     -1.0      0.1       --
G10   SMC       L91   8.90   0.40   9.6   0.06      -1.00       -1     -1.0     -1.0     0.09       --
G10   SMC      HW41   9.00   0.50   9.6    0.2      -1.00       -1     -1.0     -1.0      0.1       --
G10   LMC     HS264   8.60   0.40   9.1   0.05      -1.00       -1     -1.0     -1.0     0.15       --
G10   LMC     SL551   7.90   0.30   7.9    0.5      -1.00       -1     -1.0     -1.0     0.22       --
G10   LMC   KMHK979   7.30   0.40   8.4    0.7      -1.00       -1     -1.0     -1.0      0.1       --
G10   SMC      BS35   8.85   0.30   8.8    0.7      -1.00       -1     -1.0     -1.0      0.1       --
G10   SMC       L35   8.35   0.30   6.9    0.7      -1.00       -1     -1.0     -1.0      0.1       --
G10   LMC     SL579   7.80   0.30   7.0    0.3      -1.00       -1     -1.0     -1.0     0.12       --
G10   LMC     SL218   7.60   0.30  8.85   0.05      -1.00       -1     -1.0     -1.0      0.1       --
G10   LMC   BSDL631   7.50   0.40   7.5    0.2      -1.00       -1     -1.0     -1.0     0.08       --
P12   LMC   BRHT45A   7.65   0.12   8.2    0.3     900.00      550    400.0    200.0     -1.0       --
P12   LMC   BRHT38B   8.00   0.12   8.2    0.8    1400.00      400    600.0    200.0     -1.0       --
P12   LMC    H88-33   8.13   0.06   8.3    0.7     900.00      150    200.0    200.0     -1.0       --
P12   LMC      HS38   8.45   0.32   8.8    0.5    1650.00     1150   1000.0    300.0     -1.0       --
P12   LMC   H88-235   8.55   0.05   8.7    0.7    1600.00      250    600.0    400.0     -1.0       --
P12   LMC    H88-67   8.84   0.07  9.05   0.08    1200.00      200   1000.0    200.0     -1.0       --
P12   LMC    H88-26   8.44   0.15   9.1    0.8     600.00      200    600.0    200.0     -1.0       --
P12   LMC    H88-55   7.92   0.11   8.9   0.05     325.00      225   1600.0    400.0     -1.0       --
P12   LMC   KMHK229   9.05   0.30   9.1   0.09    8500.00     4750    400.0    200.0     -1.0       --
