#
# http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=J/AcA/50/337
#
#OGLE-CL    RAJ2000      DEJ2000      Rad l   logt   e   logt2   e  
#           "h:m:s"      "d:m:s"   arcsec     [yr]  [yr]  [yr]  [yr]
#
    187  05 10 39.87  -68 45 13.0     28     8.40  0.10  99.9 99.99
    188  05 10 40.11  -69 16 26.5     14     8.50  0.10  99.9 99.99
    189  05 10 42.05  -69 34 34.4     23     8.80  0.05  99.9 99.99
    190  05 10 43.63  -67 04 49.2     10     7.00  0.20  99.9 99.99
    191  05 10 53.54  -67 28 16.1     12     8.65  0.10  99.9 99.99
    192  05 10 55.82  -69 33 33.5     25     8.65  0.05  99.9 99.99
    193  05 10 55.91  -68 56 36.3     12     8.75  0.05  99.9 99.99
    194  05 10 56.04  -67 37 36.0     16     8.70  0.10  99.9 99.99
    196  05 10 59.82  -66 44 30.5     27     7.60  0.15  99.9 99.99
    198  05 11 06.17  -69 10 19.5     13     7.40  0.20  99.9 99.99
    200  05 11 21.50  -69 18 37.6     12     7.95  0.10  99.9 99.99
    201  05 11 27.91  -68 53 45.9     15     8.20  0.05  99.9 99.99
    202  05 11 28.28  -68 51 03.6      9     8.00  0.10  99.9 99.99
    203  05 11 31.45  -66 58 32.2     37     8.90  0.10  99.9 99.99
    205  05 11 34.35  -69 06 34.1     32     8.20  0.15  99.9 99.99
    206  05 11 40.14  -68 43 35.9     30     7.85  0.10  99.9 99.99
    207  05 11 40.85  -67 33 56.3     27     8.80  0.10  99.9 99.99
    208  05 11 43.74  -68 47 08.9     13     8.30  0.10  99.9 99.99
    209  05 12 00.99  -69 12 04.4     39     8.20  0.10  99.9 99.99
    210  05 12 03.06  -69 17 11.8     18     7.90  0.10  99.9 99.99
    211  05 12 03.79  -69 12 53.5     26     8.20  0.05  99.9 99.99
    212  05 12 08.79  -69 16 44.5     20     7.90  0.10  99.9 99.99
    213  05 12 09.46  -68 54 44.3     12     8.90  0.05  99.9 99.99
    214  05 12 13.20  -68 57 04.5     18     8.40  0.10  99.9 99.99
    215  05 12 14.91  -68 55 52.1     18     8.20  0.08  99.9 99.99
    216  05 12 14.92  -69 25 03.6     23     8.90  0.10  99.9 99.99
    217  05 12 15.45  -67 04 25.8     11     8.65  0.10  99.9 99.99
