#
# Glatt et al. (2010); http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=J/A%2BA/517/A50
#
# l: limit uncertainty error flag
#
# q  : Class code as follows:
# 1 =	objects having Δ(log(age(yr)))<0.3
# 2 =	objects having 0.3 <Δ(Log(Age(yr)))<0.5
# 3 =	objects having Δ(Log(Age(yr)))>0.5
#
#
#Name    n  E(B-V)     R   l   Age  q   Age2   RAJ2000   DEJ2000    Vmag    e    SimbadName         Cross-ID                                      
#             mag   arcmin     [yr]     [yr]   "h:m:s"   "d:m:s"     mag   mag                                                                    
LMC0316     0.105   0.520     8.70 1  99.99  04 58 54  -72 22 44  14.730  0.13  [SL63] 157         SL157,LW109,KMHK398                           
LMC0318     0.020   0.350     8.50 1  99.99  04 58 59  -66 47 43  14.950  0.12  [SL63] 147         SL147,KMHK380                                 
LMC0326     0.150   0.650     7.10 3   8.10  04 59 14  -70 15 24  11.510  0.13  [SL63] 158         SL158,KMHK397                                 
LMC0330     0.050   0.700     8.60 1  99.99  04 59 19  -65 33 30  15.140  0.12  [SL63] 152         SL152,LW108,KMHK384                           
LMC0331     0.050   0.700     8.20 2  99.99  04 59 20  -66 19 07  11.580  0.12  [SL63] 153         SL153,KMHK387                                 
LMC0333     0.150   0.520     8.10 1  99.99  04 59 27  -70 24 58  13.970  0.13  [SL63] 160         SL160,KMHK402                                 
LMC0334 *   0.100   0.410     8.40 2  99.99  04 59 37  -66 49 28  15.150  0.12  [SL63] 156         SL156,KMHK394                                 
LMC0335     0.200   0.600     8.00 2  99.99  04 59 38  -69 33 27  12.100  0.12  NGC1793            NGC1793,SL163,ESO56SC43,:KMHK405              
LMC0338     0.150   0.310     8.50 1  99.99  04 59 48  -68 18 56  15.790  0.12  KMHK403            KMHK403                                       
LMC0339     0.150   0.350     8.40 1  99.99  04 59 48  -68 57 32  14.610  0.13  [HS66] 80          HS80,KMHK408                                  
LMC0341     0.150   0.520     8.60 1  99.99  04 59 53  -67 55 25  13.990  0.10  [SL63] 162         SL162,H88-79,KMHK406                          
LMC0342 *   0.150   0.300     7.50 1  99.99  04 59 57  -67 48 17  12.920  0.11  BRHT62b            BRHT62b                                       
LMC0343     0.100   0.450     7.70 2  99.99  04 59 58  -66 11 19  13.720  0.11  [SL63] 161         SL161,KMHK401                                 
LMC0344 *   0.100   0.450     8.00 2  99.99  05 00 05  -67 48 03  14.030  0.11  BRHT62a            BRHT62a,H88-84,KMHK412                        
LMC0345     0.100   0.280     8.00 1  99.99  05 00 09  -65 45 00  13.870  0.11  H88 77             H88-77                                        
LMC0346     0.070   0.380     8.60 2  99.99  05 00 10  -65 25 26  15.110  0.14  LW112              LW112,KMHK404                                 
LMC0350     0.030   0.400     8.20 1  99.99  05 00 18  -65 28 42  14.070  0.13  LW113              LW113,KMHK410                                 
