#
# http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/ApJ/751/122/table1
#
# Age1: log(age), Hunter et al. (2003). 10.00 --> No age determination
# Age2: log(age), Glatt et al. 2010 (CMD age)
# E(B-V): Glatt et al. 2010, E(B-V) CMD color excess 
# Age: log(age), MASSCLEAN
# E, e: upper and lower uncertainties.
#
#Name                VMag     e      U-B     e      B-V     e      V-R     e     Age1   Age2   e    E(B-V)   Age    E     e     Mass   E     e    G10  SimbadName      _RA        _DE   
#                     mag    mag     mag    mag     mag    mag     mag    mag    [yr]   [yr]  [yr]    mag    [yr]  [yr]  [yr]   Msun  Msun  Msun                       deg        deg   
BH27C2.KMHK264     -6.832  0.006  -0.259  0.003   0.333  0.006   0.323  0.012   6.95   7.60  0.40   0.130   7.52  0.09  0.04   2200   800   300    1  KMHK264      073.67500  -70.35833
H88-43.H80F1-32    -5.337  0.013  -0.725  0.006  -0.123  0.014  -0.091  0.031   6.53   7.90  0.30   0.100   7.52  0.04  0.19   1700   300  1300    1  H88 43       074.18750  -69.43833
SL102.HS62         -5.254  0.017  -0.716  0.005  -0.171  0.017  -0.091  0.041   6.54   7.50  0.30   0.130   7.53  0.02  0.08   1300   100   300    1  [SL63] 102   073.73333  -70.60333
BRHT62b            -5.810  0.009  -0.358  0.007   0.724  0.011   0.732  0.014  10.00   7.50  0.30   0.130   7.54  0.02  0.01    950    50   150    1  BRHT62b      074.98750  -67.80500
BSDL2402           -6.430  0.006  -0.439  0.002   0.280  0.006   0.163  0.012   7.18   7.50  0.30   0.130   7.54  0.01  0.16   2200   300   400    1  BSDL2402     083.60000  -69.10333
KMHK464            -5.817  0.011  -0.802  0.005   0.304  0.011   0.303  0.018   7.16   7.60  0.30   0.150   7.54  0.11  0.18   1600   900   600    1  KMHK464      075.47500  -70.52333
SL134.KMHK349      -7.072  0.007  -0.645  0.004   0.012  0.008   0.089  0.015   7.19   7.70  0.40   0.250   7.54  0.10  0.18   7000  1000  4000    1  [SL63] 134   074.37500  -68.36333
NGC1813.SL190      -6.177  0.012  -0.596  0.006   0.226  0.013   0.343  0.022   7.00   7.70  0.30   0.100   7.54  0.33  0.10   2500  1500  1200    1  NGC1813      075.66667  -70.31833
SL76.KMHK206       -7.278  0.007  -0.364  0.004  -0.055  0.008   0.012  0.015   7.20   8.10  0.40   0.250   7.54  0.18  0.28   4500  1500  2900    1  [SL63] 76    073.28750  -68.21167
HS63.KMHK278       -5.327  0.013  -0.694  0.005  -0.193  0.013  -0.138  0.035   6.54   7.70  0.40   0.130   7.55  0.01  0.06   1500   100   500    1  [HS66] 63    073.75000  -70.90333
