#
# Age1: log(age)_DB
# Age2: log(age)_asteca
# Age3: log(age)_literature
#
# E_BV1: E_BV_DB
# E_BV2: E_BV_asteca
# E_BV3: E_BV_lit
#
# Mass1: Mass_DB
# Mass2: Mass_asteca
#
#DB   GAL      NAME   Age1  e_age  Age2  e_age   Age3  e_age      Mass1   e_mass    Mass2   e_mass    E_BV1    E_BV2   e_E_BV    E_BV3   e_E_BV
H03   LMC   NGC2108   8.97   0.09  9.05   -1.0   9.10   0.16   15995.58       -1     1436     -1.0    -1.00     0.04     -1.0    -1.00    -1.00
H03   SMC       L63   6.94   0.15   7.8   -1.0   8.04   0.27     619.44       -1     1372     -1.0    -1.00     0.13     -1.0     0.06     0.02
H03   LMC     SL579   7.57   0.54   7.5   -1.0   8.15   0.10    1028.02       -1     1285     -1.0    -1.00     0.06     -1.0     0.07     0.05
H03   LMC   NGC1865   8.77   0.09  8.75   -1.0   8.70   0.20   12589.25       -1     1424     -1.0    -1.00        0     -1.0     0.06     0.02
H03   LMC     SL397   7.30   0.15  7.85   -1.0   8.20   0.10    1322.72      368     1450     -1.0    -1.00     0.16     -1.0     0.08     0.05
H03   LMC     SL551   7.20   0.15     8   -1.0   8.15   0.10     224.91       -1     1476     -1.0    -1.00     0.14     -1.0     0.09     0.05
H03   SMC       L72   7.72   0.24  7.75   -1.0   7.40   0.40   19952.62       -1     1484     -1.0    -1.00     0.04     -1.0     0.14     0.02
H03   LMC     SL132   9.00   0.09  9.05   -1.0   9.20   0.06    2128.14       -1     1455     -1.0    -1.00     0.13     -1.0    -1.00    -1.00
H03   LMC   NGC2093   7.00   0.13  7.75   -1.0   8.40   0.40    1270.57       -1     1327     -1.0    -1.00      0.2     -1.0     0.07    -1.00
H03   SMC       L27   9.28   0.12  9.15   -1.0   9.32   0.14   54954.09       -1     1254     -1.0    -1.00     0.02     -1.0     0.11     0.02
R05   SMC       B39   9.07   1.48  8.75   -1.0   9.18   0.10      -1.00       -1     1360     -1.0    -1.00     0.04     -1.0     0.01    -1.00
